country,branches_count,revenue_range,industry,employees_range,year_founded,source
60.0,1.0,-1.0,17.0,-1.0,2003.0,-1.0
60.0,0.0,-1.0,36.0,-1.0,2014.0,-1.0
7.0,1.0,-1.0,33.0,-1.0,1954.0,-1.0
60.0,0.0,-1.0,17.0,-1.0,1993.0,-1.0
60.0,2.0,-1.0,31.0,-1.0,1977.0,-1.0
7.0,0.0,-1.0,56.0,-1.0,1980.0,-1.0
24.0,0.0,-1.0,7.0,-1.0,1996.4,-1.0
60.0,0.0,-1.0,55.0,-1.0,1927.0,-1.0
60.0,1.0,-1.0,13.0,-1.0,1862.0,-1.0
32.0,0.0,-1.0,38.0,-1.0,1999.0,-1.0
60.0,0.0,-1.0,98.0,-1.0,1991.0,-1.0
3.0,0.0,-1.0,11.0,-1.0,1965.0,-1.0
45.0,0.0,-1.0,33.0,-1.0,2002.0,-1.0
60.0,3.0,-1.0,68.0,-1.0,1933.0,-1.0
60.0,37.0,-1.0,89.0,-1.0,2015.0,-1.0
28.0,0.0,-1.0,5.0,-1.0,1948.0,-1.0
60.0,2.0,-1.0,56.0,-1.0,2012.0,-1.0
17.0,0.0,-1.0,14.0,-1.0,1984.0,-1.0
9.0,0.0,-1.0,100.0,-1.0,1994.0,-1.0
56.0,0.0,-1.0,5.0,-1.0,1966.0,-1.0
7.0,1.0,-1.0,16.0,-1.0,1981.0,-1.0
60.0,10.0,-1.0,38.0,-1.0,2008.0,-1.0
0.0,0.0,-1.0,84.0,-1.0,1975.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1986.4,-1.0
22.0,0.0,-1.0,9.0,-1.0,2006.0,-1.0
23.0,0.0,-1.0,6.0,-1.0,2000.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,2005.0,-1.0
24.0,0.0,-1.0,7.0,-1.0,1996.4,-1.0
60.0,0.0,-1.0,37.0,-1.0,1911.0,-1.0
60.0,0.0,-1.0,76.0,-1.0,2001.0,-1.0
13.0,0.0,-1.0,-1.0,-1.0,1953.0,-1.0
7.0,0.0,-1.0,18.0,-1.0,1995.6,-1.0
7.0,1.0,-1.0,85.0,-1.0,1966.8,-1.0
44.0,0.0,-1.0,-1.0,-1.0,1833.0,-1.0
60.0,0.0,-1.0,12.0,-1.0,1975.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,2013.0,-1.0
59.0,0.0,-1.0,17.0,-1.0,1992.0,-1.0
52.0,0.0,-1.0,17.0,-1.0,2009.0,-1.0
60.0,0.0,-1.0,37.0,-1.0,1911.0,-1.0
37.0,0.0,-1.0,96.0,-1.0,1995.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,1999.0,-1.0
35.0,0.0,-1.0,54.0,-1.0,1979.0,-1.0
60.0,2.0,-1.0,17.0,-1.0,2007.0,-1.0
60.0,0.0,-1.0,79.0,-1.0,2001.0,-1.0
7.0,0.0,-1.0,100.0,-1.0,1995.0,-1.0
60.0,0.0,-1.0,59.0,-1.0,1973.0,-1.0
49.0,0.0,-1.0,72.0,-1.0,1969.0,-1.0
8.0,0.0,-1.0,89.0,-1.0,1937.0,-1.0
18.0,0.0,-1.0,55.0,-1.0,1992.0,-1.0
49.0,0.0,-1.0,17.0,-1.0,2011.0,-1.0
58.0,0.0,-1.0,45.0,-1.0,2000.0,-1.0
59.0,0.0,-1.0,56.0,-1.0,2008.0,-1.0
5.0,0.0,-1.0,16.0,-1.0,1961.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1986.4,-1.0
10.0,0.0,-1.0,69.0,-1.0,1960.0,-1.0
60.0,36.0,-1.0,89.0,-1.0,2013.0,-1.0
17.0,0.0,-1.0,17.0,-1.0,1999.0,-1.0
7.0,1.0,-1.0,18.0,-1.0,2011.0,-1.0
60.0,0.0,-1.0,68.0,-1.0,1957.0,-1.0
60.0,1.0,-1.0,15.0,-1.0,1997.0,-1.0
47.0,0.0,-1.0,93.0,-1.0,2007.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1933.0,-1.0
60.0,0.0,-1.0,17.0,-1.0,2010.0,-1.0
20.0,0.0,-1.0,17.0,-1.0,1999.0,-1.0
60.0,3.0,-1.0,88.0,-1.0,1992.0,-1.0
60.0,0.0,-1.0,23.0,-1.0,2012.0,-1.0
18.0,0.0,-1.0,26.0,-1.0,1924.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2004.2,-1.0
20.0,0.0,-1.0,-1.0,-1.0,1913.6,-1.0
60.0,0.0,-1.0,18.0,-1.0,1911.0,-1.0
60.0,0.0,-1.0,85.0,-1.0,1964.0,-1.0
60.0,0.0,-1.0,85.0,-1.0,1998.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,1985.0,-1.0
45.0,0.0,-1.0,37.0,-1.0,1945.8,-1.0
60.0,0.0,-1.0,68.0,-1.0,1989.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1986.4,-1.0
60.0,0.0,-1.0,44.0,-1.0,2013.0,-1.0
29.0,0.0,-1.0,33.0,-1.0,1986.0,-1.0
32.0,0.0,-1.0,38.0,-1.0,1999.0,-1.0
60.0,16.0,-1.0,38.0,-1.0,1910.0,-1.0
29.0,0.0,-1.0,76.0,-1.0,1965.0,-1.0
31.0,0.0,-1.0,12.0,-1.0,1977.8,-1.0
50.0,0.0,-1.0,-1.0,-1.0,2006.0,-1.0
7.0,0.0,-1.0,10.0,-1.0,1983.0,-1.0
22.0,0.0,-1.0,1.0,-1.0,2004.0,-1.0
4.0,0.0,-1.0,96.0,-1.0,1949.0,-1.0
60.0,5.0,-1.0,17.0,-1.0,2004.0,-1.0
45.0,0.0,-1.0,37.0,-1.0,1832.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1986.4,-1.0
2.0,0.0,-1.0,-1.0,-1.0,1971.4,-1.0
9.0,0.0,-1.0,-1.0,-1.0,2015.0,-1.0
60.0,2.0,-1.0,16.0,-1.0,1980.0,-1.0
1.0,0.0,-1.0,4.0,-1.0,1958.0,-1.0
60.0,0.0,-1.0,90.0,-1.0,1969.6,-1.0
60.0,0.0,-1.0,26.0,-1.0,1995.0,-1.0
60.0,0.0,-1.0,57.0,-1.0,1833.0,-1.0
60.0,0.0,-1.0,90.0,-1.0,2006.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1985.0,-1.0
7.0,1.0,-1.0,18.0,-1.0,1978.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,2014.0,-1.0
60.0,7.0,-1.0,84.0,-1.0,1993.0,-1.0
60.0,1.0,-1.0,97.0,-1.0,2011.0,-1.0
60.0,3.0,-1.0,69.0,-1.0,1982.0,-1.0
59.0,0.0,-1.0,17.0,-1.0,1999.0,-1.0
7.0,0.0,-1.0,96.0,-1.0,1998.0,-1.0
60.0,8.0,-1.0,7.0,-1.0,1929.0,-1.0
7.0,0.0,-1.0,-1.0,-1.0,1977.0,-1.0
7.0,0.0,-1.0,16.0,-1.0,1976.0,-1.0
41.0,0.0,-1.0,43.0,-1.0,1988.0,-1.0
60.0,0.0,-1.0,96.0,-1.0,1984.0,-1.0
19.0,0.0,-1.0,92.0,-1.0,2011.0,-1.0
43.0,0.0,-1.0,26.0,-1.0,2006.0,-1.0
60.0,34.0,-1.0,88.0,-1.0,1977.0,-1.0
23.0,0.0,-1.0,69.0,-1.0,1973.4,-1.0
4.0,0.0,-1.0,94.0,-1.0,1990.0,-1.0
60.0,0.0,-1.0,51.0,-1.0,1997.0,-1.0
60.0,13.0,-1.0,35.0,-1.0,2022.0,-1.0
60.0,1.0,-1.0,2.0,-1.0,1972.6,-1.0
60.0,1.0,-1.0,4.0,-1.0,1994.0,-1.0
60.0,0.0,-1.0,38.0,-1.0,1993.0,-1.0
9.0,0.0,-1.0,-1.0,-1.0,1977.0,-1.0
60.0,11.0,-1.0,96.0,-1.0,1982.0,-1.0
48.0,0.0,-1.0,96.0,-1.0,1977.0,-1.0
60.0,9.0,-1.0,100.0,-1.0,2012.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,2011.0,-1.0
60.0,6.0,-1.0,13.0,-1.0,1926.0,-1.0
60.0,2.0,-1.0,10.0,-1.0,1883.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,1986.0,-1.0
58.0,0.0,-1.0,46.0,-1.0,1997.0,-1.0
60.0,2.0,-1.0,73.0,-1.0,1983.0,-1.0
60.0,0.0,-1.0,20.0,-1.0,2010.0,-1.0
20.0,0.0,-1.0,84.0,-1.0,1989.0,-1.0
60.0,0.0,-1.0,16.0,-1.0,1972.0,-1.0
52.0,0.0,-1.0,50.0,-1.0,2002.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2011.0,-1.0
60.0,1.0,-1.0,27.0,-1.0,1976.0,-1.0
60.0,1.0,-1.0,17.0,-1.0,2004.0,-1.0
60.0,1.0,-1.0,18.0,-1.0,1992.0,-1.0
22.0,0.0,-1.0,8.0,-1.0,2000.0,-1.0
1.0,0.0,-1.0,31.0,-1.0,2014.0,-1.0
26.0,0.0,-1.0,-1.0,-1.0,1984.0,-1.0
59.0,0.0,-1.0,17.0,-1.0,2012.0,-1.0
60.0,0.0,-1.0,17.0,-1.0,1995.8,-1.0
35.0,0.0,-1.0,25.0,-1.0,1991.2,-1.0
22.0,0.0,-1.0,40.0,-1.0,2013.0,-1.0
60.0,0.0,-1.0,63.0,-1.0,1987.0,-1.0
50.0,0.0,-1.0,16.0,-1.0,1997.6,-1.0
51.0,0.0,-1.0,89.0,-1.0,1947.0,-1.0
7.0,0.0,-1.0,100.0,-1.0,1997.0,-1.0
60.0,0.0,-1.0,55.0,-1.0,2015.0,-1.0
27.0,0.0,-1.0,12.0,-1.0,1961.0,-1.0
60.0,0.0,-1.0,12.0,-1.0,2009.0,-1.0
60.0,0.0,-1.0,33.0,-1.0,1975.0,-1.0
60.0,1.0,-1.0,46.0,-1.0,1973.0,-1.0
7.0,0.0,-1.0,51.0,-1.0,1999.2,-1.0
60.0,1.0,-1.0,45.0,-1.0,2002.0,-1.0
9.0,0.0,-1.0,48.0,-1.0,1999.0,-1.0
60.0,1.0,-1.0,14.0,-1.0,2006.0,-1.0
60.0,1.0,-1.0,17.0,-1.0,1994.0,-1.0
45.0,0.0,-1.0,7.0,-1.0,1841.0,-1.0
28.0,0.0,-1.0,-1.0,-1.0,1955.0,-1.0
34.0,0.0,-1.0,-1.0,-1.0,1999.0,-1.0
24.0,0.0,-1.0,7.0,-1.0,1996.4,-1.0
7.0,0.0,-1.0,69.0,-1.0,1948.4,-1.0
50.0,0.0,-1.0,-1.0,-1.0,1998.0,-1.0
3.0,0.0,-1.0,11.0,-1.0,1965.0,-1.0
60.0,0.0,-1.0,0.0,-1.0,1982.0,-1.0
4.0,0.0,-1.0,5.0,-1.0,1970.4,-1.0
62.0,0.0,-1.0,-1.0,-1.0,1983.4,-1.0
60.0,0.0,-1.0,53.0,-1.0,1993.0,-1.0
7.0,22.0,-1.0,80.0,-1.0,1971.0,-1.0
60.0,1.0,-1.0,18.0,-1.0,1998.0,-1.0
1.0,0.0,-1.0,68.0,-1.0,1839.0,-1.0
60.0,13.0,-1.0,35.0,-1.0,2022.0,-1.0
5.0,0.0,-1.0,31.0,-1.0,2015.0,-1.0
9.0,0.0,-1.0,-1.0,-1.0,1977.0,-1.0
60.0,0.0,-1.0,37.0,-1.0,1968.0,-1.0
60.0,1.0,-1.0,72.0,-1.0,1995.0,-1.0
45.0,0.0,-1.0,-1.0,-1.0,1957.8,-1.0
35.0,0.0,-1.0,55.0,-1.0,1991.0,-1.0
60.0,2.0,-1.0,17.0,-1.0,1973.0,-1.0
60.0,0.0,-1.0,56.0,-1.0,2012.0,-1.0
1.0,0.0,-1.0,45.0,-1.0,2001.0,-1.0
60.0,0.0,-1.0,31.0,-1.0,2002.4,-1.0
60.0,3.0,-1.0,56.0,-1.0,1985.0,-1.0
46.0,0.0,-1.0,25.0,-1.0,1985.0,-1.0
60.0,1.0,-1.0,84.0,-1.0,2001.0,-1.0
60.0,0.0,-1.0,55.0,-1.0,1960.0,-1.0
60.0,3.0,-1.0,63.0,-1.0,1972.0,-1.0
59.0,0.0,-1.0,-1.0,-1.0,1991.8,-1.0
52.0,0.0,-1.0,34.0,-1.0,1965.0,-1.0
7.0,28.0,-1.0,35.0,-1.0,1942.0,-1.0
9.0,0.0,-1.0,50.0,-1.0,1994.0,-1.0
35.0,0.0,-1.0,56.0,-1.0,2004.0,-1.0
60.0,10.0,-1.0,55.0,-1.0,1984.0,-1.0
60.0,8.0,-1.0,35.0,-1.0,1958.0,-1.0
17.0,1.0,-1.0,0.0,-1.0,2003.0,-1.0
60.0,1.0,-1.0,56.0,-1.0,2001.0,-1.0
22.0,0.0,-1.0,93.0,-1.0,2008.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,2007.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,1960.0,-1.0
60.0,3.0,-1.0,63.0,-1.0,1981.0,-1.0
9.0,0.0,-1.0,61.0,-1.0,2013.0,-1.0
21.0,0.0,-1.0,77.0,-1.0,2001.0,-1.0
7.0,0.0,-1.0,21.0,-1.0,2015.0,-1.0
7.0,1.0,-1.0,55.0,-1.0,1875.0,-1.0
60.0,4.0,-1.0,11.0,-1.0,1901.0,-1.0
60.0,0.0,-1.0,89.0,-1.0,1972.4,-1.0
59.0,0.0,-1.0,62.0,-1.0,2016.0,-1.0
60.0,0.0,-1.0,4.0,-1.0,2000.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1961.0,-1.0
60.0,0.0,-1.0,30.0,-1.0,1995.0,-1.0
22.0,0.0,-1.0,84.0,-1.0,1976.0,-1.0
60.0,1.0,-1.0,17.0,-1.0,2003.0,-1.0
27.0,0.0,-1.0,71.0,-1.0,1987.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2002.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2002.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2002.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2002.0,-1.0
60.0,12.0,-1.0,31.0,-1.0,2008.0,-1.0
60.0,1.0,-1.0,90.0,-1.0,1957.0,-1.0
60.0,0.0,-1.0,20.0,-1.0,1997.0,-1.0
34.0,0.0,-1.0,33.0,-1.0,1968.0,-1.0
60.0,24.0,-1.0,38.0,-1.0,1984.0,-1.0
60.0,1.0,-1.0,68.0,-1.0,1971.0,-1.0
60.0,0.0,-1.0,50.0,-1.0,2002.4,-1.0
7.0,0.0,-1.0,38.0,-1.0,1981.0,-1.0
60.0,0.0,-1.0,38.0,-1.0,1998.0,-1.0
60.0,4.0,-1.0,18.0,-1.0,1910.0,-1.0
30.0,0.0,-1.0,17.0,-1.0,1981.6,-1.0
60.0,1.0,-1.0,18.0,-1.0,1946.0,-1.0
58.0,0.0,-1.0,65.0,-1.0,1977.4,-1.0
60.0,23.0,-1.0,35.0,-1.0,1850.0,-1.0
39.0,0.0,-1.0,52.0,-1.0,2014.0,-1.0
37.0,0.0,-1.0,96.0,-1.0,2017.0,-1.0
60.0,0.0,-1.0,16.0,-1.0,1986.0,-1.0
60.0,1.0,-1.0,16.0,-1.0,1989.0,-1.0
59.0,0.0,-1.0,45.0,-1.0,2015.0,-1.0
17.0,23.0,-1.0,88.0,-1.0,1997.0,-1.0
61.0,0.0,-1.0,28.0,-1.0,2009.0,-1.0
60.0,0.0,-1.0,69.0,-1.0,1997.0,-1.0
60.0,0.0,-1.0,35.0,-1.0,1862.0,-1.0
60.0,0.0,-1.0,14.0,-1.0,1969.8,-1.0
60.0,1.0,-1.0,100.0,-1.0,1975.8,-1.0
31.0,0.0,-1.0,64.0,-1.0,1982.4,-1.0
60.0,1.0,-1.0,38.0,-1.0,2005.0,-1.0
50.0,0.0,-1.0,100.0,-1.0,2015.0,-1.0
60.0,2.0,-1.0,7.0,-1.0,2011.0,-1.0
7.0,0.0,-1.0,17.0,-1.0,2002.0,-1.0
60.0,30.0,-1.0,22.0,-1.0,1983.0,-1.0
60.0,0.0,-1.0,20.0,-1.0,1981.2,-1.0
50.0,0.0,-1.0,-1.0,-1.0,1988.0,-1.0
34.0,0.0,-1.0,50.0,-1.0,1947.0,-1.0
60.0,1.0,-1.0,3.0,-1.0,2020.0,-1.0
22.0,0.0,-1.0,96.0,-1.0,2001.0,-1.0
60.0,0.0,-1.0,39.0,-1.0,2011.0,-1.0
27.0,0.0,-1.0,97.0,-1.0,1884.0,-1.0
22.0,0.0,-1.0,45.0,-1.0,2018.0,-1.0
29.0,0.0,-1.0,33.0,-1.0,1986.0,-1.0
60.0,1.0,-1.0,-1.0,-1.0,1986.6,-1.0
50.0,0.0,-1.0,73.0,-1.0,1993.0,-1.0
60.0,33.0,-1.0,100.0,-1.0,1968.0,-1.0
40.0,0.0,-1.0,17.0,-1.0,2021.0,-1.0
60.0,7.0,-1.0,39.0,-1.0,2005.0,-1.0
60.0,1.0,-1.0,10.0,-1.0,2002.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,2006.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,1985.0,-1.0
60.0,38.0,-1.0,86.0,-1.0,1800.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,2004.0,-1.0
60.0,1.0,-1.0,57.0,-1.0,1965.0,-1.0
60.0,5.0,-1.0,33.0,-1.0,1997.0,-1.0
22.0,0.0,-1.0,17.0,-1.0,1963.0,-1.0
59.0,0.0,-1.0,17.0,-1.0,1998.0,-1.0
17.0,0.0,-1.0,16.0,-1.0,1988.0,-1.0
7.0,0.0,-1.0,0.0,-1.0,1968.2,-1.0
60.0,1.0,-1.0,89.0,-1.0,1976.0,-1.0
59.0,0.0,-1.0,16.0,-1.0,1985.0,-1.0
50.0,0.0,-1.0,93.0,-1.0,1985.6,-1.0
60.0,0.0,-1.0,37.0,-1.0,1927.0,-1.0
1.0,0.0,-1.0,17.0,-1.0,2012.0,-1.0
59.0,0.0,-1.0,54.0,-1.0,2017.0,-1.0
59.0,0.0,-1.0,-1.0,-1.0,1991.8,-1.0
60.0,0.0,-1.0,51.0,-1.0,1997.0,-1.0
60.0,0.0,-1.0,46.0,-1.0,1998.0,-1.0
5.0,0.0,-1.0,48.0,-1.0,2013.0,-1.0
19.0,0.0,-1.0,100.0,-1.0,1992.0,-1.0
0.0,0.0,-1.0,83.0,-1.0,1945.0,-1.0
60.0,1.0,-1.0,89.0,-1.0,2010.0,-1.0
60.0,2.0,-1.0,48.0,-1.0,2011.0,-1.0
60.0,0.0,-1.0,17.0,-1.0,2013.0,-1.0
41.0,0.0,-1.0,32.0,-1.0,1956.0,-1.0
60.0,2.0,-1.0,5.0,-1.0,1997.0,-1.0
10.0,0.0,-1.0,72.0,-1.0,1989.4,-1.0
32.0,0.0,-1.0,55.0,-1.0,1973.2,-1.0
59.0,0.0,-1.0,18.0,-1.0,1975.0,-1.0
60.0,0.0,-1.0,84.0,-1.0,2010.0,-1.0
53.0,0.0,-1.0,5.0,-1.0,1985.0,-1.0
19.0,0.0,-1.0,33.0,-1.0,2014.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1989.0,-1.0
7.0,1.0,-1.0,17.0,-1.0,2011.0,-1.0
27.0,0.0,-1.0,60.0,-1.0,2014.0,-1.0
22.0,0.0,-1.0,69.0,-1.0,1993.0,-1.0
7.0,0.0,-1.0,78.0,-1.0,2000.0,-1.0
60.0,2.0,-1.0,62.0,-1.0,2003.0,-1.0
60.0,0.0,-1.0,20.0,-1.0,2008.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1982.0,-1.0
60.0,0.0,-1.0,33.0,-1.0,1902.0,-1.0
9.0,0.0,-1.0,100.0,-1.0,2004.0,-1.0
9.0,0.0,-1.0,76.0,-1.0,1999.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1991.0,-1.0
17.0,0.0,-1.0,17.0,-1.0,2007.0,-1.0
37.0,0.0,-1.0,24.0,-1.0,1992.6,-1.0
60.0,23.0,-1.0,35.0,-1.0,1850.0,-1.0
7.0,0.0,-1.0,-1.0,-1.0,1967.0,-1.0
60.0,1.0,-1.0,25.0,-1.0,2010.0,-1.0
59.0,0.0,-1.0,79.0,-1.0,1990.0,-1.0
60.0,1.0,-1.0,81.0,-1.0,1963.0,-1.0
7.0,0.0,-1.0,36.0,-1.0,1984.2,-1.0
59.0,0.0,-1.0,76.0,-1.0,1994.0,-1.0
60.0,1.0,-1.0,31.0,-1.0,1998.0,-1.0
9.0,0.0,-1.0,12.0,-1.0,1984.0,-1.0
45.0,0.0,-1.0,10.0,-1.0,1995.0,-1.0
9.0,0.0,-1.0,17.0,-1.0,1995.0,-1.0
22.0,0.0,-1.0,45.0,-1.0,2010.0,-1.0
60.0,2.0,-1.0,12.0,-1.0,1955.0,-1.0
22.0,0.0,-1.0,67.0,-1.0,1892.0,-1.0
22.0,0.0,-1.0,17.0,-1.0,2009.0,-1.0
60.0,2.0,-1.0,27.0,-1.0,1990.0,-1.0
60.0,0.0,-1.0,31.0,-1.0,2017.0,-1.0
60.0,0.0,-1.0,66.0,-1.0,1996.0,-1.0
60.0,0.0,-1.0,89.0,-1.0,2001.0,-1.0
60.0,0.0,-1.0,12.0,-1.0,2005.0,-1.0
60.0,0.0,-1.0,84.0,-1.0,2003.0,-1.0
18.0,0.0,-1.0,91.0,-1.0,2002.0,-1.0
38.0,0.0,-1.0,31.0,-1.0,1987.0,-1.0
17.0,1.0,-1.0,17.0,-1.0,2013.0,-1.0
17.0,14.0,-1.0,37.0,-1.0,2012.0,-1.0
50.0,0.0,-1.0,36.0,-1.0,1947.6,-1.0
60.0,1.0,-1.0,61.0,-1.0,1948.0,-1.0
60.0,0.0,-1.0,17.0,-1.0,1995.8,-1.0
60.0,1.0,-1.0,47.0,-1.0,1952.0,-1.0
60.0,1.0,-1.0,100.0,-1.0,1995.0,-1.0
60.0,0.0,-1.0,38.0,-1.0,1998.0,-1.0
60.0,5.0,-1.0,17.0,-1.0,2004.0,-1.0
60.0,1.0,-1.0,37.0,-1.0,1797.0,-1.0
60.0,1.0,-1.0,68.0,-1.0,1983.0,-1.0
6.0,0.0,-1.0,93.0,-1.0,1982.0,-1.0
50.0,0.0,-1.0,3.0,-1.0,2001.0,-1.0
60.0,25.0,-1.0,35.0,-1.0,1788.0,-1.0
60.0,1.0,-1.0,51.0,-1.0,2002.8,-1.0
60.0,7.0,-1.0,37.0,-1.0,1636.0,-1.0
60.0,2.0,-1.0,93.0,-1.0,1995.0,-1.0
60.0,1.0,-1.0,31.0,-1.0,1990.0,-1.0
60.0,37.0,-1.0,89.0,-1.0,2015.0,-1.0
60.0,0.0,-1.0,68.0,-1.0,1954.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1986.4,-1.0
7.0,0.0,-1.0,96.0,-1.0,1994.0,-1.0
60.0,1.0,-1.0,38.0,-1.0,1963.2,-1.0
60.0,18.0,-1.0,76.0,-1.0,1900.0,-1.0
35.0,0.0,-1.0,43.0,-1.0,1993.0,-1.0
59.0,0.0,-1.0,39.0,-1.0,1924.0,-1.0
60.0,1.0,-1.0,13.0,-1.0,1992.0,-1.0
60.0,0.0,-1.0,39.0,-1.0,1991.0,-1.0
60.0,6.0,-1.0,96.0,-1.0,2013.0,-1.0
60.0,0.0,-1.0,100.0,-1.0,1953.0,-1.0
60.0,3.0,-1.0,44.0,-1.0,2001.0,-1.0
60.0,1.0,-1.0,35.0,-1.0,1883.0,-1.0
60.0,1.0,-1.0,25.0,-1.0,1966.0,-1.0
60.0,0.0,-1.0,56.0,-1.0,2001.0,-1.0
24.0,0.0,-1.0,-1.0,-1.0,2010.0,-1.0
7.0,2.0,-1.0,96.0,-1.0,1979.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1982.0,-1.0
60.0,0.0,-1.0,66.0,-1.0,1939.0,-1.0
36.0,0.0,-1.0,72.0,-1.0,1984.0,-1.0
18.0,0.0,-1.0,17.0,-1.0,2000.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1986.4,-1.0
60.0,0.0,-1.0,31.0,-1.0,2002.4,-1.0
51.0,0.0,-1.0,-1.0,-1.0,1995.8,-1.0
52.0,0.0,-1.0,38.0,-1.0,1965.4,-1.0
25.0,0.0,-1.0,37.0,-1.0,1851.0,-1.0
59.0,0.0,-1.0,37.0,-1.0,1971.0,-1.0
60.0,1.0,-1.0,96.0,-1.0,2015.0,-1.0
60.0,0.0,-1.0,57.0,-1.0,1955.0,-1.0
7.0,28.0,-1.0,35.0,-1.0,1942.0,-1.0
60.0,0.0,-1.0,-1.0,-1.0,1986.4,-1.0
60.0,1.0,-1.0,96.0,-1.0,2005.0,-1.0
60.0,0.0,-1.0,84.0,-1.0,1988.0,-1.0
23.0,0.0,-1.0,84.0,-1.0,2003.0,-1.0
60.0,6.0,-1.0,89.0,-1.0,2014.0,-1.0
60.0,1.0,-1.0,68.0,-1.0,1943.0,-1.0
60.0,0.0,-1.0,5.0,-1.0,2014.0,-1.0
60.0,0.0,-1.0,0.0,-1.0,1982.0,-1.0
60.0,1.0,-1.0,69.0,-1.0,1994.0,-1.0
60.0,0.0,-1.0,23.0,-1.0,2007.0,-1.0
60.0,0.0,-1.0,38.0,-1.0,1967.0,-1.0
60.0,0.0,-1.0,68.0,-1.0,2011.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2003.0,-1.0
7.0,0.0,-1.0,25.0,-1.0,2006.2,-1.0
60.0,1.0,-1.0,66.0,-1.0,1960.0,-1.0
22.0,0.0,-1.0,38.0,-1.0,2009.0,-1.0
60.0,0.0,-1.0,38.0,-1.0,2006.0,-1.0
60.0,37.0,-1.0,89.0,-1.0,2015.0,-1.0
