_id,link,last_seen,ispublished,views,deadline,company_name,content,source,branches_count,display_name,country,industry,revenue_range,employees_range,year_founded,description,longitude,latitude,company_status,revenue,employees_count,technologies_used,date_added
,,,,,,http://f1networks.com,,,2,"F1 SOLUTIONS, INC",United States,Computer Software,1M - 10M,10 - 50,1998,"F1 Solutions has served North Alabama for over 25 years, becoming the region’s most respected and trusted IT solutions provider. Our team is composed of industry experts who are constantly training with the latest technologies and best practices for IT services. We are Microsoft, Apple and Linux experts and work well in both environments. Whether you need assistance with networking a few computers to share information at a small office, or need to set up file servers to link together multiple branch locations; F1 has experience with projects both large and small. We do not use contract labor and are proud that all of our staff are full time industry experts with F1. We live, eat and breathe technology, and are highly passionate about creating a strong infrastructure that you can rely on.",,,active,,35,"['Google Analytics', 'WordPress']",
,,,,,,http://multipacksolutions.com,,,0,Multi-Pack Solutions LLC,United States,Consumer Goods,10M - 50M,200 - 500,1929,"Multi-Pack Solutions™ provides contract packaging and manufacturing for the world’s leading consumer, personal care, OTC, medical and industrial & institutional brands. Our expertise encompasses tube filling, bottle filling,  sachets and single packs.

By leveraging purpose-engineered technologies and a team with decades of expertise, we offer our customers a number of competitive advantages:
•  Extensive breadth of packaging capabilities for single-source partnership along the brand continuum
•  Dedication to speed-to-market, innovation, and customer-focus 
•  EPA, FDA, FDA Drug & Medical Device Establishments, ISO 13485:2016, and cGMP-compliant facility
•  Dedicated project management
•  Flexible manufacturing systems

Manufacturing location in Greenville, South Carolina",-87.96306,42.06643,active,,,"['Google Analytics', 'Google DoubleClick', 'Google Tag Manager', 'Pardot', 'Salesforce force.com', 'Salesforce salesforce.com', 'Salesforce SFDC', 'WordPress']",
,,,,,,http://rtg-aero-hydraulic.de,,,0,RTG Aero-Hydraulic Inc.,Germany,Aviation & Aerospace,,,,RTG - Company,,,active,,,"['Google Tag Manager', 'WooCommerce', 'WordPress']",
,,,,,,http://certainteed.com,,,17,CertainTeed Corporation,United States,Retail,> 1B,"5,000 - 10,000",1904,"CertainTeed®, a subsidiary of Saint-Gobain, is North America’s leading brand of sustainable exterior and interior building products.

Headquartered in Malvern, Pa., CertainTeed has helped shape the building products industry for more than 100 years, through the responsible development of innovative and sustainable building products. Founded in 1904 as General Roofing Manufacturing Company, the firm's slogan ""Quality Made Certain, Satisfaction Guaranteed,"" quickly inspired the name “CertainTeed."" A subsidiary of Saint-Gobain, the world’s largest building products company, CertainTeed® is North America’s leading brand of exterior and interior building products, including roofing, siding, fence, decking, railing, trim, insulation, gypsum and ceilings. 

CertainTeed and its affiliates proudly have a staff of more than 6,300 employees and operate more than 60 manufacturing facilities throughout the United States and Canada. For five consecutive years, the company has received top honors from the U.S. Environmental Protection Agency for its contributions in protecting the environment and was most recently the recipient of the 2013 ENERGY STAR Sustained Excellence Award. The group had total sales of approximately $3.4 billion in 2016. www.certainteed.com 

Quality made Certain, Satisfaction guaranteed
http://www.CertainTeed.com

Visit the CertainTeed Building Knowledge Blog
http://blog.certainteed.com",,,active,,,"['AddThis', 'Amazon Cloudfront', 'CloudFlare', 'Demandbase', 'Drupal', 'Google Tag Manager', 'Incapsula', 'MaxCDN', 'Monetate', 'NewRelic', 'Salesforce force.com', 'Varnish', 'WordPress']",
,,,,,,http://bmwusa.com,,,6,"BMW Financial Services NA, LLC",United States,Financial Services,200M - 1B,"1,000 - 5,000",1984,The official BMW of North America Web site. Learn about all BMW Series and models and find out where to find the closest BMW center.,,,active,,2798,"['Akamai', 'Google Analytics', 'Google DoubleClick', 'Google Tag Manager']",
,,,,,,http://pizzahut.com,,,0,"Pizza Hut, LLC",United States,,,,1958,"Discover classic & new menu items, find deals and enjoy seamless ordering for delivery and carryout. No One OutPizzas the Hut®.",-96.83692,33.073826,active,,,"['Google Tag Manager', 'Optimizely']",
,,,,,,http://kitco.com,,,0,Kitco Metals Inc.,Canada,Retail,10M - 50M,50 - 200,1977,"Founded in 1977, Kitco Metals Inc. is headquartered in Montreal and has offices in New York and Hong Kong. Kitco is one of the largest retailers of precious metals in the world, and a specialized supplier of refining services. The company is an authorized reseller of products made by some of the most prestigious government mints. Kitco’s website, the world’s #1 precious metals reference, is visited by close to a million people every day. A leading industry innovator, Kitco was one of the first precious metal companies to offer free real-time market information applications for smart phones.

For more information on who we are and to view open positions, visit our corporate site at https://corp.kitco.com/career.html

For information on the precious metals industry and buying/selling, visit our site at https://www.kitco.com/",,,active,,,"['Amazon AWS S3', 'CloudFlare', 'Google Analytics', 'Google DoubleClick', 'Google Tag Manager', 'MailChimp', 'MaxCDN']",
,,,,,,http://degruyter.com,,,0,Walter de Gruyter GmbH,Germany,,50M - 100M,200 - 500,1749,Independent academic publisher dedicated to high-caliber scholarship from around the world – since 1749.,,,active,,,"['AddThis', 'Amazon Cloudfront', 'foxycart', 'Google Analytics', 'Google Tag Manager', 'WordPress']",
,,,,,,http://minterconsulting.com,,,1,"Minter Consulting, Inc.",United States,Financial Services,0 - 1M,1 - 10,2002,,,,active,,,['Google Tag Manager'],
,,,,,,http://johnwoodaccountants.co.uk,,,0,JOHN WOOD ACCOUNTANTS LIMITED,United Kingdom,,,,2015,"Professional accountancy practice specialising in small business and startup accountancy services to the Tameside, Stockport and the wider Manchester area. Services include accounts, taxation, payroll, CIS, company formation and bookkeeping.",,,active,,,"['Google Analytics', 'Google DoubleClick', 'Google Tag Manager']",
,,,,,,http://crimandassociates.com,,,0,Crim & Associates Inc.,United States,Real Estate,1M - 10M,10 - 50,1975,"CRIM is a commercial real estate development company based in Atlanta, Georgia. CRIM has been actively developing single-tenant and multi-tenant retail properties. CRIM's current portfolio consists of 20 retail centers located throughout the Metro Atlanta area consisting of 450,000 square feet.",-84.38125,33.921577,active,,,['Google Tag Manager'],
,,,,,,http://finesseproserv.co,,,0,Finesse Pro Services Inc.,United States,Construction,1M - 10M,10 - 50,2013,"Serving Hampstead, NC and the Surrounding Areas With Residential and Commercial Carpet Cleaning, Carpet Repair, Upholstery Cleaning, and Many More Services.",,,active,,,"['Google Tag Manager', 'Sukuri/Cloudproxy', 'WordPress']",
,,,,,,http://vibrascreener.com,,,0,VibraScreener Inc,United States,Machinery,10M - 50M,50 - 200,2015,"VibraScreener specialize in the design and manufacture of vibratory screeners and separators. We provide technically advanced, reliable, and cost effective sieving and separation solutions that feature higher capacity, low maintenance, easy to clean and dismantle, lower noise levels and very sanitary models and technologies. 

VibraScreener customer base consists of major U.S. and international corporations. Major industries served are the food and beverage, pharmaceutical, chemical, cosmetics, ceramics, powder coating, metallurgy, plastics, aggregates, minerals and recycling industries. In addition to our standard innovative product line, we develop and design custom and specialty products to assist customers with specific or unique projects and plant requirements delivering products exactly to customer specifications. 

As leaders providers of process machinery, with customers ranging from multinational corporations to family owned processing facilities, our focus is on the continuous development of advance intelligent technologies that improve sustainability and profitability of all of our customers.",-80.86905,35.268093,active,,,"['Google Tag Manager', 'Gravatar', 'WordPress']",
,,,,,,,,,1,Secure Wrap,United States,Package/Freight Delivery,1M - 10M,10 - 50,1994,,-80.262776,25.801909,active,,,[],
,,,,,,http://aciapartments.com,,,1,ACI Apartments,United States,Real Estate,1M - 10M,10 - 50,1982,"ACI Apartments | 175 followers on LinkedIn. Building Your Wealth Through Apartment Investment | Apartment Consultants Inc. (ACI) is the most successful income property brokerage firm in San Diego county. Since 1982, we have specialized in apartment and investment property transactions, and maintained a solid performance despite changing economic cycles.",,,active,,,"['Constant Contact', 'Google Analytics', 'MaxCDN', 'WooCommerce', 'WordPress']",
,,,,,,http://kemptechnologies.com,,,5,KEMP Technologies,United States,Computer Software,10M - 50M,200 - 500,2000,Provides software that makes it possible to easily deploy application delivery technology on-demand. Its Loadmaster family of products are used with many well-known business applications.,-73.98545,40.758266,active,,,"['Amazon Cloudfront', 'CloudFlare', 'Drupal', 'Google Tag Manager', 'Marketo', 'MaxCDN', 'OpenCart', 'Optimizely', 'Varnish', 'Wistia']",
,,,,,,http://vegasworld.com,,,0,Vegas World,,Computer Software,,,,"Play FREE casino games! Slots, bingo, poker, blackjack, solitaire and so much more! WIN BIG and party with your friends!",,,active,,,"['CloudFlare', 'Zendesk']",
,,,,,,,,,0,ACS - Design.Construction.Integration,United States,Construction,10M - 50M,50 - 200,1994,,-89.44441,43.07523,active,,,[],
,,,,,,http://bnc.nanohub.org,,,0,BIRCK NANOTECHNOLOGY CENTER,United States,Research,1M - 10M,10 - 50,,nanoHUB.org is designed to be a resource to the entire nanotechnology discovery and learning community.,,,active,,,"['Google Analytics', 'Google Tag Manager']",
,,,,,,,,,9,Hilldrup Moving & Storage,United States,Warehousing,,,2006,,-76.8536403,38.8714957,active,,,[],
,,,,,,http://vice.com,,,0,Vice France SARL,France,Publishing,10M - 50M,50 - 200,2007,The definitive guide to enlightening information.,,,active,,,"['Amazon Cloudfront', 'CloudFlare', 'comScore', 'Crazy Egg', 'Google Analytics', 'Google DoubleClick', 'Google Tag Manager', 'MarkMonitor', 'NewRelic', 'quantcast', 'WordPress']",
,,,,,,,,,0,GRANITE FALLS ENERGY-MEMB UN,United States,Oil & Energy,200M - 1B,50 - 200,2000,,,,active,301000000,75,[],
,,,,,,http://westinghousenuclear.com,,,5,Westinghouse Electric Company LLC,United States,Construction,> 1B,"> 10,000",1884,"Westinghouse Electric Company is the world's leading supplier of safe and innovative nuclear technology.

We provide our utility customers around the world with the most reliable, dependable nuclear power plants, nuclear fuel, plant automation and operating plant products and services. We are driven by our powerful history and experience, ground-breaking ideas and our focus on safety and sustainability.

At Westinghouse, we are focused on nuclear energy technology. Our goal is simple - to provide solutions to our customers to keep their plants safe, reliable and efficient. Helping our customers support the needs of their customers is why we are committed to quality, safety and innovation at every turn.",,,active,,,"['Amazon Cloudfront', 'CloudFlare', 'Google Analytics', 'Google Tag Manager']",
,,,,,,http://accuweather.com,,,0,"AccuWeather, Inc.",United States,Media Production,50M - 100M,"500 - 1,000",1962,"Home/Company/About Us/Dr. Joel MyersDr. Joel N. MyersFounder & Chief Executive OfficerDr. Myers is considered the “father of modern commercial meteorology” and the nation’s most respected authority on the business of meteorology, having been named “the most accurate man in weather” by The New York Times.Home/Company/About Us/Dr. Joel MyersDr. Joel N. MyersFounder & Chief Executive OfficerDr. Myers is considered the “father ... Read More",-77.89973,40.782253,active,,619,"['AddThis', 'Akamai', 'Amazon AWS S3', 'CloudFlare', 'comScore', 'Google DoubleClick', 'Google Tag Manager', 'MarkMonitor', 'NewRelic', 'quantcast', 'WooCommerce', 'WordPress']",
,,,,,,http://crossroadstech.net,,,0,"CROSSROADS TECHNOLOGIES, INC",United States,Computer Software,10M - 50M,50 - 200,1996,"Crossroads Technologies is an IT management, hosting, infrastructure, consulting and professional services company, headquartered in Wyomissing, PA with an office in Salt Lake City, UT as well.

At Crossroads Technologies, our mission is connecting People, Processes, and Technology together to enable forward-thinking organizations of all sizes and composition around the globe to be more competitive and agile within their respective marketplace.


Crossroads Technologies is an IT management, hosting, infrastructure, consulting and professional services company, headquartered in Wyomissing, intelligently navigating IT technology changes since 1996, providing customers with a trustworthy predictable experience coupled with providing a single point of accountability.",-75.95827,40.346096,active,,,['Google Analytics'],
