_id,branches_count,company_name,company_status,content,country,date_added,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,progress,revenue,revenue_range,source,technologies_used,views,year_founded
64601c6d8e116d3d1d0c16c9,6,Alvaria,active,"On May 10, 2021 Aspect Software and Noble Systems merged to form Alvaria. To see what's new, visit: https://www.linkedin.com/company/alvaria-inc/
 
Aspect is on a mission to simplify and improve customer engagement. Our large-enterprise contact center software is used by millions of agents every year and supports billions of consumer interactions around the world. Flexible, highly scalable, best-of-breed applications for self-service, live contact management and workforce optimization help companies keep agents engaged while providing exceptional customer service experiences. Available on-premises or in your choice of hosted, private or public cloud environment.",United States,2023-04-10,null,"On May 10, 2021 Aspect Software and Noble Systems merged to form Alvaria. To see what's new, visit: https://www.linkedin.com/company/alvaria-inc/
 
Aspect is on a mission to simplify and improve customer engagement. Our large-enterprise contact center software is used by millions of agents every year and supports billions of consumer interactions around the world. Flexible, highly scalable, best-of-breed applications for self-service, live contact management and workforce optimization help companies keep agents engaged while providing exceptional customer service experiences. Available on-premises or in your choice of hosted, private or public cloud environment.","Aspect Software, Inc.",2014,2014,Computer Software,true,2023-05-14T09:38:15.296Z,42.600597,http://www.alvaria.com/,-71.32776,100%,290000,0 - 1M,Royal,"[""Amazon Cloudfront"",""Google DoubleClick"",""Google Tag Manager"",""NewRelic"",""Pardot"",""ShareThis"",""Wingify/Visual Website Optimizer""]",null,1973
64601c6f8e116d3d1d0c16ca,14,Tom Duffy Company,active,"Shop supplies for carpet installation, shower niches, concrete polishing and everything in between, plus waterproof flooring, hardwood, rubber wall base and more.",United States,2023-04-10,null,"Shop supplies for carpet installation, shower niches, concrete polishing and everything in between, plus waterproof flooring, hardwood, rubber wall base and more.",Tom Duffy Company,49,10 - 50,Construction,true,2023-05-14T09:31:12.726Z,38.20604,http://www.tomduffy.com/,-122.14729,100%,$16.2M,1M - 10M,Royal,"[""Google Analytics"",""Google Tag Manager"",""MaxCDN"",""WordPress""]",null,1967
64601c718e116d3d1d0c16cb,0,Kretek International,active,"Founded in 1983, Kretek International, Inc. is a privately held distribution and marketing company with business concentrated in the specialty tobacco and OTP categories. Kretek’s mission is to continuously provide superior quality and value in a growing range of imported tobacco products and accessories, and personal products for its customers and consumers. 

Kretek International is the exclusive U. S. marketer and distributor of Djarum cigars, Dreams cigars, and DjEEP lighters. Kretek markets and distributes Voodoo Hookah tobaccos & accessories, Cuban Rounds Premium Cigars in Sealed Fresh 3-Packs, as well as Samuel Gawith and MacBaren pipe tobaccos, plus many other specialty tobacco products and accessories.",United States,2023-04-05,null,"Founded in 1983, Kretek International, Inc. is a privately held distribution and marketing company with business concentrated in the specialty tobacco and OTP categories. Kretek’s mission is to continuously provide superior quality and value in a growing range of imported tobacco products and accessories, and personal products for its customers and consumers. 

Kretek International is the exclusive U. S. marketer and distributor of Djarum cigars, Dreams cigars, and DjEEP lighters. Kretek markets and distributes Voodoo Hookah tobaccos & accessories, Cuban Rounds Premium Cigars in Sealed Fresh 3-Packs, as well as Samuel Gawith and MacBaren pipe tobaccos, plus many other specialty tobacco products and accessories.","Kretek International, Inc.",279,200 - 500,Tobacco,true,2023-05-14T09:31:17.604Z,34.283928,http://www.kretek.com/,-118.89535,0%,$$61.8M,10M - 50M,Royal,"[""Google Tag Manager""]",null,1982
64601c728e116d3d1d0c16cc,0,Beghelli USA,active,"Beghelli USA provides technologically advanced emergency lighting products and luminaires to the American market.

Manufacturing of lighting products has allowed Beghelli USA to spearhead the design and introduction of innovative code-compliant products, which are channeled to market through distribution across the country.
Year after year, sales continue to exceed the industry's growth rate allowing Beghelli USA to reinvest in new product development.

The Beghelli Group

Beghelli, with its headquarters in Italy, is truly a global company that exports a global brand in the lighting industry. With professional expertise, the most innovative technologies, fully dedicated R&D teams and key project management, Beghelli has been able to bring its brand values to the four corners of the world.
Today Beghelli's operations are present in over 124 countries in North America, South America, Europe and Asia; clearly demonstrating the international spirit of the company.",United States,2023-04-03,null,"Beghelli USA provides technologically advanced emergency lighting products and luminaires to the American market.

Manufacturing of lighting products has allowed Beghelli USA to spearhead the design and introduction of innovative code-compliant products, which are channeled to market through distribution across the country.
Year after year, sales continue to exceed the industry's growth rate allowing Beghelli USA to reinvest in new product development.

The Beghelli Group

Beghelli, with its headquarters in Italy, is truly a global company that exports a global brand in the lighting industry. With professional expertise, the most innovative technologies, fully dedicated R&D teams and key project management, Beghelli has been able to bring its brand values to the four corners of the world.
Today Beghelli's operations are present in over 124 countries in North America, South America, Europe and Asia; clearly demonstrating the international spirit of the company.",Beghelli USA Inc.,34,50 - 200,Electrical/Electronic Manufacturing,true,2023-05-14T09:38:20.104Z,25.980503,http://www.beghelliusa.com/,-80.283676,0%,$$119.5M,10M - 50M,Royal,"[""CloudFlare"",""Google Tag Manager"",""MaxCDN"",""WooCommerce"",""WordPress""]",null,1988
64601c748e116d3d1d0c16cd,1,Benning Construction,active,Benning Construction Company is a commercial general contractor and construction manager based in the Southeast focusing on the cinema and grocery markets.,United States,2023-03-30,null,Benning Construction Company is a commercial general contractor and construction manager based in the Southeast focusing on the cinema and grocery markets.,Benning Construction Company Inc.,111,50 - 200,Construction,true,2023-05-14T09:38:29.684Z,33.840828,http://www.benningnet.com/,-84.48519,0%,"$70,6M",10M - 50M,Royal,"[""MaxCDN"",""WordPress""]",null,1953
64601c768e116d3d1d0c16ce,0,Steve Silver furniture,active,"Stephen C. Silver started the company as a sole proprietorship in April 1983 selling imported goods at flea markets.  Once the company went into furniture it grew.
 
Steve Silver Company has expanded over time to become a global low-cost leader in casual dining and occasional furniture.  The company operates from a 500,000 square foot, state-of-the-art warehouse and distribution facility.  The company is headquartered in Forney, TX, just outside Dallas, with extensive overseas sourcing and quality control expertise and more than 60 people on the ground in five different Asian offices.

The company excels in cost-effective design and delivery of high quality furniture at value oriented price points.  The company also is an industry leader in customer service with a dedicated customer service staff and more than 7,000 spare parts on hand for immediate delivery.  In 2011 Steve Silver Company became an employee owned company (ESOP).  In 2014 Steve Silver Company won the prestigious Excellence in Ownership Award for having innovative processes and is ranked as a top ESOP by the National Center for Employee Ownership (NCEO).
 
The combination of vision, capital and capacity at Steve Silver Company offer a powerful and compelling platform for growth for its customers, its suppliers and its employees.  While continuing to be the low-cost category leader in casual dining, occasional and home office furniture, the company also will begin to focus on innovative and consumer-focused product development, a diversified licensed brand portfolio, optimization of its facilities and technologies through lean practices, strategic sourcing and value-added sales and marketing efforts.",United States,2023-03-30,null,"Stephen C. Silver started the company as a sole proprietorship in April 1983 selling imported goods at flea markets.  Once the company went into furniture it grew.
 
Steve Silver Company has expanded over time to become a global low-cost leader in casual dining and occasional furniture.  The company operates from a 500,000 square foot, state-of-the-art warehouse and distribution facility.  The company is headquartered in Forney, TX, just outside Dallas, with extensive overseas sourcing and quality control expertise and more than 60 people on the ground in five different Asian offices.

The company excels in cost-effective design and delivery of high quality furniture at value oriented price points.  The company also is an industry leader in customer service with a dedicated customer service staff and more than 7,000 spare parts on hand for immediate delivery.  In 2011 Steve Silver Company became an employee owned company (ESOP).  In 2014 Steve Silver Company won the prestigious Excellence in Ownership Award for having innovative processes and is ranked as a top ESOP by the National Center for Employee Ownership (NCEO).
 
The combination of vision, capital and capacity at Steve Silver Company offer a powerful and compelling platform for growth for its customers, its suppliers and its employees.  While continuing to be the low-cost category leader in casual dining, occasional and home office furniture, the company also will begin to focus on innovative and consumer-focused product development, a diversified licensed brand portfolio, optimization of its facilities and technologies through lean practices, strategic sourcing and value-added sales and marketing efforts.",Steve Silver Company,237,200 - 500,Furniture,true,2023-05-14T09:31:22.401Z,null,http://stevesilver.com/,null,0%,$28.7M,10M - 50M,Royal,"[""CloudFlare"",""Drupal"",""Google Analytics"",""Google Tag Manager"",""OpenCart"",""WooCommerce"",""WordPress""]",null,1983
64601c788e116d3d1d0c16cf,null,5Design,null,null,null,2023-03-30,null,null,null,100,100,null,true,2023-05-14T09:31:27.246Z,null,http://5design.net/,null,0%,"$19,2M","$19,2M",Royal,[],null,null
64601c798e116d3d1d0c16d0,2,Sunstar Americas,active,"Effectively fighting gum disease

The G・U・M brand series is the first comprehensive line-up of dental products that combats the causes rather than the symptoms of periodontal disease which affects about 70% of the world's population. Innovative G・U・M products that effectively combat the bacteria that cause periodontal disease, such as toothbrush, dental floss and custom care products, are continuously being developed through collaboration with dental professionals and application of the most advanced research findings from around the world. Today, G・U・M brand products have become popular in more than 80 countries. 

Healthy mouth, beautiful teeth

The Ora² series of dental products not only make your mouth healthier, but also makes your teeth more beautiful. This is a goal that everyone seeks, particularly active career people who want to have a confident smile.

Brand trusted by dental professionals around the world

For more than 80 years Butler has been committed to providing high-quality oral-care tools to consumers and dental professionals worldwide. It has pioneered a unique approach to plaque removal that combines brushing, flossing and irrigation tools. The Butler brand, which was initially developed for innovative products designed to respond to the specific need for fine quality toothbrushes that would meet exacting oral hygiene requirements, has become the pre-eminent global brand with a full line-up of dentistry products for prevention and treatment that are widely used by the world's dentists and dental hygienists. 

Sunstar supports healthy lives by providing innovative products, starting with basic good oral-care products and continuing with additional high-value-added products for fighting against cavities that were developed ahead of other companies, by incorporating in product development the findings of the world's most advanced dental research in cariology.",United States,2023-03-30,null,"Effectively fighting gum disease

The G・U・M brand series is the first comprehensive line-up of dental products that combats the causes rather than the symptoms of periodontal disease which affects about 70% of the world's population. Innovative G・U・M products that effectively combat the bacteria that cause periodontal disease, such as toothbrush, dental floss and custom care products, are continuously being developed through collaboration with dental professionals and application of the most advanced research findings from around the world. Today, G・U・M brand products have become popular in more than 80 countries. 

Healthy mouth, beautiful teeth

The Ora² series of dental products not only make your mouth healthier, but also makes your teeth more beautiful. This is a goal that everyone seeks, particularly active career people who want to have a confident smile.

Brand trusted by dental professionals around the world

For more than 80 years Butler has been committed to providing high-quality oral-care tools to consumers and dental professionals worldwide. It has pioneered a unique approach to plaque removal that combines brushing, flossing and irrigation tools. The Butler brand, which was initially developed for innovative products designed to respond to the specific need for fine quality toothbrushes that would meet exacting oral hygiene requirements, has become the pre-eminent global brand with a full line-up of dentistry products for prevention and treatment that are widely used by the world's dentists and dental hygienists. 

Sunstar supports healthy lives by providing innovative products, starting with basic good oral-care products and continuing with additional high-value-added products for fighting against cavities that were developed ahead of other companies, by incorporating in product development the findings of the world's most advanced dental research in cariology.","Sunstar Americas, Inc.",524,"500 - 1,000",Manufacturing,true,2023-05-14T09:31:29.657Z,41.97537,http://sunstar.com/,-87.74356,0%,$$771.3M,50M - 100M,Royal,"[""Braintree"",""Google Tag Manager"",""MaxCDN"",""Varnish"",""WordPress""]",null,1923
64601c7b8e116d3d1d0c16d1,null,MERS Missouri Goodwill Industries,null,null,null,2023-03-27,null,null,null,~1000,~1000,null,true,2023-05-14T09:31:34.448Z,null,http://mersgooldwill.com/,null,0%,$168M,$168M,Royal,[],null,null
64601c7d8e116d3d1d0c16d2,2,Savanna Technical College,active,"Savannah Technical College, the 2013 Technical College System of Georgia (TCSG) College of the Year, serves Coastal Georgia with quality, market-driven technical education with campus locations in Chatham, Effingham and Liberty Counties. Serving more than 9,000 credit students each year, Savannah Tech offers nearly 150 different instructional programs in Aviation Technology, Business and Technology, Public Service, Industrial Technology, and Health Sciences. An additional 5,000 students are served through non-credit classes in Adult Education/ESOL, industry-specific training and professional continuing education. The College serves as an economic and community development partner for the region, offering corporate and customized training and assessment programs for business and industry. The College is accredited by the Southern Association of Colleges and Schools Commission on Colleges.",United States,2023-03-27,null,"Savannah Technical College, the 2013 Technical College System of Georgia (TCSG) College of the Year, serves Coastal Georgia with quality, market-driven technical education with campus locations in Chatham, Effingham and Liberty Counties. Serving more than 9,000 credit students each year, Savannah Tech offers nearly 150 different instructional programs in Aviation Technology, Business and Technology, Public Service, Industrial Technology, and Health Sciences. An additional 5,000 students are served through non-credit classes in Adult Education/ESOL, industry-specific training and professional continuing education. The College serves as an economic and community development partner for the region, offering corporate and customized training and assessment programs for business and industry. The College is accredited by the Southern Association of Colleges and Schools Commission on Colleges.",Savannah Technical College,331,200 - 500,Higher Education,true,2023-05-14T09:31:36.865Z,32.025368,http://savannahtech.edu/,-81.11206,0%,43329675,10M - 50M,Royal,"[""Google Analytics"",""Google Tag Manager"",""WordPress""]",null,1929
64601c7e8e116d3d1d0c16d3,0,Wymondham College,active,"Wymondham College is a unique state funded day and boarding school offering an educational experience unlike any other. Students come from a wide range of backgrounds in the UK and overseas and achieve outstanding academic success.  The College has an inclusive and caring community with a concern for the individual and a philosophy which celebrates the education of the whole person above mere success in league tables.

Our 2012 OfSTED Boarding Inspection confirmed Wymondham College as one of the country's outstanding boarding schools. A student quoted in the report summed up the experience of Wymondham College:  'I love this school it’s just the best spending this amount of time with your friends"".",United Kingdom,2023-03-27,null,"Wymondham College is a unique state funded day and boarding school offering an educational experience unlike any other. Students come from a wide range of backgrounds in the UK and overseas and achieve outstanding academic success.  The College has an inclusive and caring community with a concern for the individual and a philosophy which celebrates the education of the whole person above mere success in league tables.

Our 2012 OfSTED Boarding Inspection confirmed Wymondham College as one of the country's outstanding boarding schools. A student quoted in the report summed up the experience of Wymondham College:  'I love this school it’s just the best spending this amount of time with your friends"".",Wymondham College,116,50 - 200,Higher Education,true,2023-05-14T09:31:41.665Z,52.545126,http://www.wymondhamcollege.org/,1.054702,0%,"$11,1M",10M - 50M,Royal,"[""Amazon AWS S3"",""CloudFlare""]",null,1951
64601c808e116d3d1d0c16d4,null,Ville de Lille,null,null,null,2023-03-27,null,null,null,25,25,null,true,2023-05-14T09:31:46.431Z,null,https://www.lille.fr/,null,100%,$5M,$5M,Royal,[],null,null
64601c828e116d3d1d0c16d5,1,Graceworks Lutheran Services,active,"Graceworks Lutheran Services has advanced its mission and values since its incorporation in 1926. Our programs and services are offered in more than 50 locations throughout southwest Ohio, southeast Indiana and northern Kentucky.
Programs include senior living, affordable housing for persons who are older or have disabilities and housing and care for individuals with developmental disabilities.",United States,2023-03-21,null,"Graceworks Lutheran Services has advanced its mission and values since its incorporation in 1926. Our programs and services are offered in more than 50 locations throughout southwest Ohio, southeast Indiana and northern Kentucky.
Programs include senior living, affordable housing for persons who are older or have disabilities and housing and care for individuals with developmental disabilities.",GRACEWORKS LUTHERAN SERVICES,982,"500 - 1,000",Civic & Social Organization,true,2023-05-14T09:31:48.820Z,39.651093,http://www.graceworks.org/,-84.157745,0%,45125414,10M - 50M,Royal,"[""CloudFlare"",""Google Analytics"",""Google Tag Manager"",""MailChimp"",""ShareThis"",""WordPress""]",null,1926
64601c838e116d3d1d0c16d6,0,Yaskawa Motoman,active,Yaskawa Motoman delivers high-quality industrial robots and fully-integrated robotic automation systems that enable our customers compete globally.,United States,2023-03-21,null,Yaskawa Motoman delivers high-quality industrial robots and fully-integrated robotic automation systems that enable our customers compete globally.,"MOTOMAN, INC.",null,null,null,true,2023-05-14T09:31:53.612Z,39.66463,http://www.motoman.com/,-84.238075,100%,$37.2M,$37.2M,Royal,"[""Google Tag Manager"",""HubSpot"",""MaxCDN"",""ShareThis""]",null,1994
64601c858e116d3d1d0c16d7,1,Sutton and Jacobs,active,Attorneys and Counselors at Law,United States,2023-03-18,null,Attorneys and Counselors at Law,"SUTTON & JACOBS, L.L.P.",25,10 - 50,Legal Services,true,2023-05-14T09:31:58.410Z,30.094055,https://www.sutton-jacobs.com/,-94.17463,0%,$5M,1M - 10M,Royal,"[""CloudFlare"",""Google Analytics"",""WordPress""]",null,1992
64601c878e116d3d1d0c16d8,0,DGM Industrie,active,"DGM Industrie, spécialisé dans le contrôle CND, la fabrication et maintenance industrielles, usinage et chaudronnerie et travaux sur corde.",France,2023-03-17,null,"DGM Industrie, spécialisé dans le contrôle CND, la fabrication et maintenance industrielles, usinage et chaudronnerie et travaux sur corde.",DGM INDUSTRIE,25,10 - 50,null,true,2023-05-14T09:32:03.189Z,null,https://www.dgm-industrie.fr/,null,100%,5500000,1M - 10M,Royal,"[""Google Analytics"",""Google Tag Manager"",""WordPress""]",null,2001
