country,branches_count,revenue_range,employees_range,industry,year_founded,source,attacked
71.0,0.0,-1.0,96.0,-1.0,1910.0,5.0,1
72.0,0.0,3.0,11.0,2.0,1993.0,5.0,1
71.0,0.0,-1.0,74.0,-1.0,1998.0,5.0,1
2.0,0.0,1.0,35.0,6.0,1895.0,5.0,1
73.0,0.0,-1.0,18.0,-1.0,1950.0,5.0,1
66.0,0.0,-1.0,95.0,-1.0,1975.2,5.0,1
45.0,0.0,-1.0,93.0,-1.0,2016.0,5.0,1
1.0,0.0,2.0,13.0,5.0,1989.0,5.0,1
59.0,0.0,3.0,33.0,2.0,1994.0,5.0,1
8.0,0.0,-1.0,34.0,-1.0,1971.0,5.0,1
36.0,0.0,5.0,62.0,6.0,1944.0,5.0,1
73.0,6.0,1.0,107.0,6.0,1953.0,5.0,1
64.0,0.0,4.0,69.0,1.0,1892.0,5.0,1
73.0,0.0,3.0,61.0,2.0,1963.2,5.0,1
64.0,0.0,-1.0,-1.0,-1.0,1987.0,5.0,1
33.0,0.0,3.0,17.0,2.0,2005.0,5.0,1
73.0,1.0,2.0,68.0,5.0,1986.0,5.0,1
73.0,0.0,3.0,35.0,2.0,1996.0,5.0,1
10.0,0.0,3.0,61.0,2.0,1964.4,5.0,1
73.0,6.0,3.0,74.0,2.0,1985.0,5.0,1
22.0,0.0,-1.0,-1.0,-1.0,1955.0,5.0,1
73.0,3.0,3.0,90.0,2.0,1938.0,5.0,1
36.0,0.0,6.0,3.0,4.0,1938.0,5.0,1
73.0,0.0,2.0,73.0,3.0,1984.2,5.0,1
22.0,0.0,6.0,42.0,7.0,1996.0,5.0,1
73.0,0.0,3.0,33.0,2.0,1982.0,5.0,1
5.0,0.0,4.0,79.0,1.0,1986.0,5.0,1
73.0,5.0,1.0,35.0,6.0,1901.0,5.0,1
73.0,3.0,5.0,42.0,3.0,1971.0,5.0,1
73.0,0.0,3.0,42.0,2.0,1991.4,5.0,1
68.0,0.0,-1.0,9.0,-1.0,1992.0,5.0,1
56.0,0.0,3.0,56.0,2.0,1999.0,5.0,1
64.0,0.0,3.0,63.0,2.0,1999.0,5.0,1
45.0,0.0,2.0,39.0,5.0,2006.0,5.0,1
73.0,0.0,-1.0,64.0,-1.0,2004.0,5.0,1
34.0,0.0,-1.0,-1.0,-1.0,1974.0,5.0,1
68.0,0.0,5.0,96.0,6.0,1986.0,5.0,1
8.0,0.0,-1.0,96.0,-1.0,1973.0,5.0,1
73.0,1.0,0.0,-1.0,0.0,2002.6,5.0,1
54.0,0.0,-1.0,4.0,-1.0,2001.6,5.0,1
10.0,0.0,-1.0,-1.0,-1.0,1974.4,5.0,1
22.0,0.0,2.0,60.0,5.0,1972.0,5.0,1
55.0,0.0,-1.0,18.0,-1.0,1900.0,5.0,1
45.0,0.0,5.0,96.0,3.0,1982.0,5.0,1
46.0,0.0,-1.0,30.0,-1.0,2016.0,5.0,1
34.0,0.0,-1.0,69.0,-1.0,1952.0,5.0,1
73.0,0.0,3.0,66.0,2.0,1980.0,5.0,1
73.0,0.0,0.0,68.0,0.0,1996.4,5.0,1
75.0,0.0,-1.0,35.0,-1.0,1970.0,5.0,1
73.0,0.0,2.0,40.0,5.0,1999.0,5.0,1
64.0,0.0,4.0,49.0,1.0,2016.0,5.0,1
73.0,1.0,3.0,104.0,2.0,1990.0,5.0,1
73.0,1.0,2.0,31.0,5.0,1968.0,5.0,1
73.0,3.0,3.0,90.0,2.0,1938.0,5.0,1
34.0,0.0,2.0,60.0,3.0,1959.0,5.0,1
30.0,0.0,6.0,79.0,4.0,1947.0,5.0,1
34.0,0.0,2.0,36.0,5.0,1974.4,5.0,1
64.0,0.0,2.0,59.0,5.0,1984.0,5.0,1
13.0,0.0,4.0,38.0,1.0,1951.2,5.0,1
73.0,0.0,2.0,96.0,5.0,1962.0,5.0,1
73.0,0.0,-1.0,54.0,-1.0,1987.8,5.0,1
22.0,2.0,3.0,107.0,2.0,1977.0,5.0,1
22.0,0.0,3.0,31.0,2.0,1979.0,5.0,1
8.0,0.0,-1.0,107.0,-1.0,2009.0,5.0,1
30.0,0.0,-1.0,60.0,-1.0,1969.0,5.0,1
30.0,4.0,4.0,17.0,1.0,1996.0,5.0,1
30.0,0.0,1.0,52.0,6.0,2011.0,5.0,1
34.0,0.0,2.0,60.0,3.0,1959.0,5.0,1
10.0,23.0,4.0,107.0,1.0,1974.0,5.0,1
72.0,0.0,6.0,104.0,4.0,2010.0,5.0,1
73.0,1.0,3.0,18.0,2.0,1985.8,5.0,1
17.0,0.0,-1.0,96.0,-1.0,1993.4,5.0,1
22.0,0.0,6.0,104.0,7.0,2001.0,5.0,1
23.0,0.0,2.0,18.0,5.0,1997.0,5.0,1
23.0,0.0,1.0,18.0,6.0,1891.0,5.0,1
63.0,0.0,-1.0,60.0,-1.0,1964.0,5.0,1
73.0,0.0,1.0,2.0,6.0,1987.0,5.0,1
34.0,0.0,1.0,69.0,6.0,1896.0,5.0,1
7.0,0.0,-1.0,90.0,-1.0,2016.0,5.0,1
73.0,6.0,6.0,107.0,4.0,1981.0,5.0,1
3.0,0.0,2.0,75.0,3.0,1936.0,5.0,1
67.0,0.0,4.0,90.0,6.0,1982.0,5.0,1
23.0,0.0,3.0,60.0,2.0,1922.0,5.0,1
41.0,0.0,3.0,101.0,2.0,1978.0,5.0,1
72.0,0.0,2.0,100.0,5.0,2003.0,5.0,1
73.0,1.0,0.0,0.0,0.0,2011.0,5.0,1
10.0,0.0,0.0,107.0,0.0,2016.0,5.0,1
23.0,0.0,-1.0,75.0,-1.0,1937.6,5.0,1
73.0,4.0,1.0,11.0,1.0,1962.0,5.0,1
13.0,0.0,4.0,18.0,1.0,1963.0,5.0,1
8.0,0.0,-1.0,42.0,-1.0,1985.2,5.0,1
34.0,0.0,-1.0,-1.0,-1.0,1974.0,5.0,1
73.0,0.0,0.0,21.0,0.0,1950.0,5.0,1
73.0,0.0,0.0,73.0,0.0,1991.6,5.0,1
62.0,0.0,3.0,49.0,2.0,1991.0,5.0,1
8.0,0.0,2.0,51.0,5.0,1996.0,5.0,1
73.0,0.0,2.0,95.0,5.0,1987.0,5.0,1
64.0,0.0,2.0,17.0,5.0,1990.0,5.0,1
23.0,0.0,-1.0,-1.0,-1.0,1970.2,5.0,1
61.0,0.0,-1.0,-1.0,-1.0,2008.0,5.0,1
73.0,0.0,0.0,35.0,0.0,1970.8,5.0,1
23.0,0.0,-1.0,-1.0,-1.0,1970.2,5.0,1
22.0,3.0,3.0,12.0,5.0,1900.0,5.0,1
10.0,1.0,2.0,49.0,5.0,1993.0,5.0,1
73.0,0.0,2.0,96.0,3.0,1972.0,5.0,1
73.0,1.0,-1.0,42.0,-1.0,1992.0,5.0,1
73.0,0.0,0.0,-1.0,0.0,2008.0,5.0,1
73.0,1.0,2.0,69.0,5.0,2006.0,5.0,1
73.0,0.0,3.0,91.0,5.0,1958.0,5.0,1
73.0,0.0,2.0,99.0,5.0,1970.0,5.0,1
30.0,0.0,-1.0,28.0,-1.0,2015.0,5.0,1
37.0,0.0,-1.0,41.0,-1.0,2004.0,5.0,1
73.0,2.0,3.0,56.0,2.0,1966.0,5.0,1
73.0,0.0,2.0,40.0,5.0,1999.0,5.0,1
73.0,0.0,2.0,73.0,6.0,1945.0,5.0,1
59.0,0.0,-1.0,35.0,-1.0,2009.0,5.0,1
22.0,0.0,6.0,42.0,7.0,1996.0,5.0,1
73.0,5.0,2.0,42.0,3.0,1963.0,5.0,1
72.0,0.0,-1.0,66.0,-1.0,2000.0,5.0,1
30.0,0.0,2.0,11.0,3.0,1989.0,5.0,1
10.0,8.0,4.0,96.0,4.0,2005.0,5.0,1
73.0,3.0,4.0,96.0,1.0,1976.0,5.0,1
68.0,0.0,-1.0,43.0,-1.0,1980.4,5.0,1
68.0,0.0,4.0,-1.0,1.0,2004.0,5.0,1
28.0,0.0,6.0,104.0,7.0,1950.0,5.0,1
8.0,0.0,-1.0,27.0,-1.0,1991.2,5.0,1
72.0,0.0,2.0,13.0,5.0,1964.0,5.0,1
73.0,2.0,4.0,41.0,1.0,1903.0,5.0,1
4.0,0.0,3.0,5.0,2.0,1997.0,5.0,1
30.0,0.0,-1.0,-1.0,-1.0,2007.0,5.0,1
72.0,0.0,6.0,104.0,7.0,2013.0,5.0,1
73.0,0.0,3.0,64.0,2.0,1993.0,5.0,1
3.0,0.0,2.0,3.0,5.0,1989.0,5.0,1
73.0,2.0,2.0,16.0,5.0,1999.0,5.0,1
22.0,0.0,0.0,4.0,0.0,1836.0,5.0,1
73.0,1.0,2.0,62.0,5.0,1864.0,5.0,1
2.0,0.0,-1.0,50.0,-1.0,1997.0,5.0,1
49.0,0.0,3.0,4.0,2.0,1996.0,5.0,1
73.0,0.0,4.0,60.0,1.0,1980.0,5.0,1
7.0,0.0,3.0,35.0,2.0,1909.0,5.0,1
73.0,2.0,2.0,18.0,5.0,1914.0,5.0,1
73.0,0.0,3.0,18.0,2.0,2017.0,5.0,1
43.0,0.0,2.0,90.0,5.0,1999.0,5.0,1
57.0,0.0,2.0,105.0,3.0,2006.0,5.0,1
46.0,0.0,-1.0,18.0,-1.0,1973.0,5.0,1
8.0,0.0,2.0,33.0,5.0,1964.0,5.0,1
73.0,0.0,3.0,98.0,2.0,2013.0,5.0,1
73.0,3.0,2.0,104.0,3.0,1941.0,5.0,1
73.0,1.0,2.0,33.0,5.0,2002.0,5.0,1
10.0,25.0,6.0,90.0,7.0,1913.0,5.0,1
45.0,0.0,5.0,62.0,4.0,2004.0,5.0,1
73.0,1.0,0.0,3.0,0.0,2001.0,5.0,1
73.0,0.0,-1.0,-1.0,-1.0,1979.0,5.0,1
72.0,0.0,2.0,100.0,5.0,2009.0,5.0,1
73.0,5.0,2.0,16.0,-1.0,1950.0,5.0,1
73.0,1.0,4.0,96.0,1.0,1979.0,5.0,1
2.0,0.0,-1.0,105.0,-1.0,1994.0,5.0,1
30.0,0.0,4.0,11.0,4.0,1970.0,5.0,1
73.0,0.0,3.0,56.0,2.0,2013.0,5.0,1
73.0,0.0,3.0,50.0,2.0,2012.0,5.0,1
34.0,0.0,-1.0,96.0,-1.0,1930.0,5.0,1
2.0,0.0,-1.0,50.0,-1.0,1997.0,5.0,1
73.0,1.0,2.0,29.0,5.0,1992.0,5.0,1
73.0,0.0,3.0,42.0,2.0,1998.0,5.0,1
73.0,1.0,5.0,18.0,3.0,2012.0,5.0,1
73.0,2.0,2.0,104.0,3.0,1982.0,5.0,1
72.0,0.0,6.0,104.0,7.0,1994.0,5.0,1
73.0,0.0,-1.0,34.0,-1.0,1970.8,5.0,1
61.0,0.0,-1.0,-1.0,-1.0,2013.0,5.0,1
68.0,0.0,-1.0,-1.0,-1.0,1998.0,5.0,1
10.0,0.0,-1.0,56.0,-1.0,1986.2,5.0,1
73.0,1.0,0.0,50.0,0.0,2005.8,5.0,1
73.0,0.0,-1.0,55.0,-1.0,2003.0,5.0,1
34.0,0.0,2.0,33.0,5.0,1973.0,5.0,1
73.0,18.0,2.0,12.0,-1.0,1948.0,5.0,1
73.0,0.0,3.0,13.0,2.0,1985.0,5.0,1
10.0,4.0,-1.0,18.0,-1.0,1987.0,5.0,1
53.0,0.0,4.0,50.0,6.0,1960.0,5.0,1
10.0,1.0,5.0,77.0,6.0,1933.0,5.0,1
65.0,0.0,-1.0,-1.0,-1.0,1939.0,5.0,1
28.0,0.0,4.0,90.0,1.0,1989.0,5.0,1
67.0,0.0,4.0,16.0,4.0,1972.0,5.0,1
31.0,0.0,3.0,55.0,2.0,1976.6,5.0,1
12.0,0.0,4.0,17.0,1.0,2004.0,5.0,1
3.0,0.0,1.0,93.0,6.0,1970.0,5.0,1
73.0,0.0,2.0,17.0,5.0,2005.0,5.0,1
73.0,1.0,2.0,62.0,5.0,1998.0,5.0,1
8.0,0.0,2.0,0.0,5.0,2015.0,5.0,1
7.0,0.0,3.0,85.0,2.0,1978.4,5.0,1
73.0,0.0,0.0,9.0,0.0,1997.0,5.0,1
68.0,0.0,3.0,40.0,2.0,2004.0,5.0,1
10.0,0.0,2.0,104.0,5.0,1997.0,5.0,1
34.0,0.0,2.0,108.0,5.0,1960.0,5.0,1
3.0,0.0,-1.0,33.0,-1.0,1986.0,5.0,1
48.0,0.0,-1.0,49.0,-1.0,2003.0,5.0,1
4.0,0.0,3.0,107.0,0.0,1907.0,5.0,1
73.0,0.0,0.0,-1.0,0.0,2012.0,5.0,1
22.0,0.0,-1.0,-1.0,-1.0,1972.0,5.0,1
0.0,0.0,2.0,1.0,5.0,2018.0,5.0,1
73.0,1.0,2.0,18.0,5.0,2008.0,5.0,1
72.0,0.0,2.0,74.0,3.0,1973.0,5.0,1
73.0,0.0,2.0,88.0,5.0,1955.0,5.0,1
23.0,0.0,-1.0,94.0,-1.0,1973.8,5.0,1
73.0,2.0,3.0,17.0,-1.0,2003.0,5.0,1
69.0,0.0,-1.0,74.0,-1.0,1988.0,5.0,1
23.0,0.0,3.0,33.0,2.0,2012.0,5.0,1
61.0,0.0,2.0,44.0,5.0,2012.0,5.0,1
49.0,0.0,3.0,4.0,2.0,1994.0,5.0,1
7.0,0.0,3.0,66.0,2.0,1993.0,5.0,1
72.0,0.0,2.0,28.0,3.0,1999.0,5.0,1
60.0,0.0,1.0,2.0,6.0,1957.0,5.0,1
72.0,0.0,0.0,59.0,0.0,2009.0,5.0,1
45.0,0.0,3.0,27.0,2.0,2014.0,5.0,1
72.0,0.0,2.0,60.0,3.0,1934.0,5.0,1
22.0,0.0,1.0,11.0,3.0,1957.0,5.0,1
49.0,0.0,2.0,81.0,5.0,1978.0,5.0,1
73.0,0.0,4.0,34.0,1.0,1975.0,5.0,1
73.0,1.0,3.0,17.0,2.0,1967.0,5.0,1
73.0,1.0,0.0,54.0,0.0,1987.8,5.0,1
73.0,3.0,5.0,17.0,3.0,1992.0,5.0,1
68.0,0.0,-1.0,-1.0,-1.0,1981.4,5.0,1
73.0,1.0,2.0,13.0,5.0,2004.0,5.0,1
46.0,0.0,-1.0,38.0,-1.0,1854.8,5.0,1
74.0,0.0,-1.0,6.0,-1.0,1985.8,5.0,1
36.0,0.0,4.0,18.0,1.0,1969.0,5.0,1
10.0,2.0,6.0,42.0,4.0,1875.0,5.0,1
73.0,3.0,3.0,90.0,2.0,1938.0,5.0,1
73.0,1.0,0.0,74.0,0.0,1991.0,5.0,1
57.0,0.0,-1.0,104.0,-1.0,1887.0,5.0,1
5.0,0.0,4.0,79.0,1.0,1986.0,5.0,1
73.0,0.0,0.0,0.0,0.0,2010.8,5.0,1
73.0,0.0,6.0,4.0,7.0,1908.0,5.0,1
34.0,0.0,4.0,38.0,1.0,2001.0,5.0,1
22.0,3.0,2.0,107.0,5.0,1983.0,5.0,1
73.0,0.0,3.0,56.0,2.0,2010.0,5.0,1
28.0,0.0,2.0,82.0,5.0,1983.0,5.0,1
50.0,0.0,-1.0,18.0,-1.0,1954.2,5.0,1
50.0,0.0,3.0,73.0,2.0,2010.0,5.0,1
50.0,0.0,3.0,25.0,5.0,1999.0,5.0,1
50.0,0.0,3.0,50.0,2.0,1971.0,5.0,1
46.0,0.0,1.0,93.0,6.0,2001.0,5.0,1
73.0,0.0,2.0,38.0,3.0,1984.2,5.0,1
73.0,0.0,3.0,-1.0,2.0,1993.4,5.0,1
75.0,0.0,1.0,27.0,6.0,1997.0,5.0,1
30.0,0.0,1.0,75.0,6.0,1987.0,5.0,1
74.0,0.0,-1.0,-1.0,-1.0,2002.2,5.0,1
36.0,0.0,-1.0,60.0,-1.0,1937.0,5.0,1
23.0,0.0,3.0,4.0,2.0,1937.0,5.0,1
73.0,0.0,2.0,66.0,5.0,1917.0,5.0,1
73.0,3.0,2.0,42.0,5.0,1991.0,5.0,1
73.0,1.0,3.0,101.0,2.0,2003.0,5.0,1
22.0,1.0,5.0,38.0,6.0,1980.0,5.0,1
22.0,0.0,-1.0,-1.0,-1.0,1998.0,5.0,1
3.0,0.0,2.0,86.0,5.0,2007.0,5.0,1
50.0,1.0,3.0,15.0,2.0,1966.6,5.0,1
73.0,6.0,3.0,33.0,5.0,1985.0,5.0,1
50.0,0.0,3.0,101.0,2.0,1997.0,5.0,1
63.0,0.0,2.0,27.0,5.0,2000.0,5.0,1
10.0,0.0,-1.0,11.0,-1.0,1921.0,5.0,1
8.0,0.0,1.0,22.0,6.0,1994.0,5.0,1
56.0,0.0,3.0,21.0,2.0,1990.0,5.0,1
10.0,2.0,0.0,49.0,0.0,2000.0,5.0,1
73.0,1.0,3.0,18.0,2.0,1982.0,5.0,1
30.0,0.0,4.0,18.0,1.0,1979.0,5.0,1
73.0,0.0,3.0,17.0,2.0,2008.0,5.0,1
73.0,0.0,-1.0,22.0,-1.0,1980.0,5.0,1
73.0,0.0,3.0,14.0,2.0,1994.8,5.0,1
73.0,2.0,2.0,65.0,5.0,1986.0,5.0,1
23.0,0.0,4.0,66.0,1.0,1947.0,5.0,1
46.0,0.0,-1.0,4.0,-1.0,2000.0,5.0,1
71.0,0.0,-1.0,90.0,-1.0,2005.0,5.0,1
30.0,0.0,2.0,36.0,5.0,2009.0,5.0,1
73.0,0.0,2.0,74.0,5.0,2013.0,5.0,1
17.0,0.0,-1.0,90.0,-1.0,1970.2,5.0,1
41.0,0.0,-1.0,59.0,-1.0,1994.0,5.0,1
73.0,1.0,0.0,53.0,0.0,2015.0,5.0,1
49.0,0.0,3.0,66.0,2.0,1946.0,5.0,1
73.0,27.0,6.0,1.0,7.0,1968.0,5.0,1
73.0,0.0,3.0,81.0,2.0,1984.0,5.0,1
22.0,21.0,6.0,5.0,7.0,1949.0,5.0,1
22.0,1.0,4.0,0.0,1.0,2000.0,5.0,1
34.0,0.0,0.0,65.0,0.0,1961.0,5.0,1
8.0,0.0,-1.0,26.0,-1.0,2016.0,5.0,1
10.0,1.0,3.0,96.0,2.0,1980.8,5.0,1
8.0,0.0,-1.0,50.0,-1.0,1997.4,5.0,1
46.0,0.0,-1.0,-1.0,-1.0,1996.4,5.0,1
2.0,0.0,3.0,49.0,2.0,1984.0,5.0,1
64.0,0.0,2.0,64.0,5.0,1987.4,5.0,1
73.0,1.0,3.0,36.0,5.0,2006.0,5.0,1
73.0,3.0,2.0,18.0,5.0,1931.0,5.0,1
73.0,28.0,6.0,42.0,-1.0,1972.0,5.0,1
12.0,0.0,6.0,18.0,1.0,1993.0,5.0,1
73.0,1.0,2.0,91.0,5.0,1976.0,5.0,1
36.0,0.0,-1.0,16.0,-1.0,1961.0,5.0,1
73.0,1.0,5.0,62.0,3.0,1996.0,5.0,1
73.0,0.0,2.0,69.0,5.0,1903.0,5.0,1
72.0,0.0,6.0,96.0,4.0,1988.0,5.0,1
72.0,0.0,2.0,50.0,5.0,1999.0,5.0,1
7.0,0.0,3.0,50.0,2.0,1999.6,5.0,1
56.0,0.0,-1.0,-1.0,-1.0,2009.6,5.0,1
73.0,0.0,3.0,18.0,2.0,2002.0,5.0,1
10.0,0.0,1.0,62.0,6.0,1978.0,5.0,1
7.0,0.0,-1.0,107.0,-1.0,1992.0,5.0,1
68.0,0.0,1.0,90.0,3.0,1973.0,5.0,1
7.0,0.0,3.0,55.0,2.0,2000.0,5.0,1
50.0,0.0,-1.0,63.0,-1.0,1964.0,5.0,1
3.0,0.0,-1.0,82.0,-1.0,1923.0,5.0,1
73.0,1.0,3.0,56.0,2.0,1996.2,5.0,1
64.0,0.0,4.0,61.0,1.0,2000.0,5.0,1
73.0,2.0,3.0,16.0,2.0,1984.0,5.0,1
73.0,2.0,3.0,16.0,2.0,1984.0,5.0,1
73.0,2.0,3.0,16.0,2.0,1984.0,5.0,1
73.0,2.0,3.0,16.0,2.0,1984.0,5.0,1
73.0,1.0,3.0,14.0,2.0,1986.0,5.0,1
73.0,3.0,3.0,107.0,2.0,1960.0,5.0,1
73.0,0.0,-1.0,-1.0,-1.0,2001.0,5.0,1
47.0,1.0,3.0,64.0,2.0,1989.0,5.0,1
73.0,0.0,-1.0,36.0,-1.0,1945.0,5.0,1
22.0,2.0,2.0,96.0,2.0,1980.0,5.0,1
73.0,1.0,3.0,76.0,2.0,2006.0,5.0,1
30.0,0.0,1.0,62.0,6.0,1950.0,5.0,1
56.0,0.0,-1.0,42.0,-1.0,1858.0,5.0,1
73.0,0.0,3.0,73.0,-1.0,1986.0,5.0,1
12.0,0.0,-1.0,35.0,-1.0,2005.0,5.0,1
73.0,0.0,3.0,42.0,2.0,1991.4,5.0,1
38.0,0.0,2.0,6.0,3.0,1954.0,5.0,1
73.0,0.0,3.0,55.0,2.0,2001.0,5.0,1
35.0,0.0,-1.0,-1.0,-1.0,1974.0,5.0,1
45.0,0.0,3.0,100.0,2.0,1977.0,5.0,1
73.0,1.0,3.0,42.0,2.0,1979.8,5.0,1
73.0,3.0,2.0,18.0,5.0,1992.0,5.0,1
67.0,2.0,2.0,49.0,3.0,1985.2,5.0,1
73.0,0.0,2.0,18.0,5.0,1992.0,5.0,1
8.0,0.0,-1.0,74.0,-1.0,2002.0,5.0,1
73.0,0.0,3.0,16.0,2.0,1988.0,5.0,1
10.0,0.0,-1.0,39.0,-1.0,1967.0,5.0,1
34.0,0.0,0.0,43.0,0.0,2005.0,5.0,1
20.0,0.0,0.0,41.0,0.0,1946.4,5.0,1
73.0,0.0,0.0,-1.0,0.0,2011.0,5.0,1
52.0,0.0,3.0,11.0,2.0,2007.0,5.0,1
73.0,2.0,3.0,107.0,5.0,2000.0,5.0,1
67.0,0.0,5.0,62.0,3.0,1997.0,5.0,1
8.0,0.0,-1.0,16.0,-1.0,2012.0,5.0,1
22.0,2.0,3.0,18.0,2.0,2005.0,5.0,1
23.0,0.0,-1.0,90.0,-1.0,1970.2,5.0,1
22.0,0.0,-1.0,95.0,-1.0,1984.2,5.0,1
73.0,0.0,4.0,43.0,1.0,1967.0,5.0,1
22.0,0.0,3.0,90.0,2.0,2007.0,5.0,1
73.0,0.0,0.0,12.0,-1.0,1996.6,5.0,1
11.0,0.0,3.0,41.0,2.0,1962.0,5.0,1
13.0,0.0,-1.0,74.0,-1.0,1980.0,5.0,1
74.0,0.0,-1.0,50.0,-1.0,1995.0,5.0,1
73.0,0.0,0.0,56.0,0.0,1987.2,5.0,1
39.0,0.0,4.0,60.0,-1.0,1973.0,5.0,1
73.0,0.0,3.0,69.0,2.0,2008.0,5.0,1
73.0,0.0,0.0,27.0,-1.0,2007.0,5.0,1
22.0,0.0,3.0,38.0,2.0,1991.0,5.0,1
22.0,1.0,0.0,100.0,0.0,2017.0,5.0,1
73.0,2.0,2.0,3.0,5.0,2005.0,5.0,1
22.0,0.0,3.0,62.0,2.0,1998.0,5.0,1
22.0,0.0,3.0,90.0,2.0,1957.0,5.0,1
4.0,0.0,4.0,42.0,1.0,1960.0,5.0,1
64.0,0.0,2.0,107.0,5.0,1986.0,5.0,1
72.0,0.0,-1.0,42.0,-1.0,2007.0,5.0,1
73.0,0.0,0.0,0.0,0.0,2012.0,5.0,1
73.0,2.0,2.0,23.0,5.0,1934.0,5.0,1
73.0,0.0,1.0,60.0,6.0,1913.0,5.0,1
49.0,0.0,0.0,59.0,0.0,1984.0,5.0,1
3.0,0.0,-1.0,18.0,-1.0,1971.8,5.0,1
64.0,0.0,2.0,-1.0,5.0,1997.0,5.0,1
10.0,0.0,-1.0,-1.0,-1.0,1974.4,5.0,1
14.0,0.0,3.0,55.0,2.0,1990.6,5.0,1
68.0,0.0,1.0,22.0,6.0,1982.0,5.0,1
70.0,0.0,1.0,104.0,6.0,1989.0,5.0,1
72.0,0.0,2.0,90.0,5.0,2000.0,5.0,1
28.0,0.0,-1.0,-1.0,-1.0,1986.0,5.0,1
8.0,0.0,-1.0,57.0,-1.0,2014.0,5.0,1
7.0,0.0,5.0,61.0,6.0,1967.0,5.0,1
46.0,0.0,-1.0,76.0,-1.0,1993.0,5.0,1
73.0,1.0,0.0,32.0,0.0,1994.0,5.0,1
57.0,0.0,3.0,49.0,2.0,2008.0,5.0,1
8.0,0.0,4.0,105.0,1.0,2001.0,5.0,1
13.0,0.0,-1.0,-1.0,-1.0,1979.6,5.0,1
61.0,0.0,-1.0,74.0,-1.0,1977.0,5.0,1
28.0,0.0,-1.0,-1.0,-1.0,1989.4,5.0,1
61.0,0.0,-1.0,-1.0,-1.0,2014.0,5.0,1
73.0,0.0,0.0,55.0,0.0,2010.0,5.0,1
64.0,0.0,3.0,107.0,2.0,1998.0,5.0,1
10.0,0.0,3.0,107.0,2.0,1971.0,5.0,1
8.0,0.0,2.0,49.0,5.0,2005.0,5.0,1
73.0,2.0,3.0,12.0,2.0,1992.0,5.0,1
23.0,0.0,-1.0,43.0,-1.0,1935.8,5.0,1
73.0,0.0,3.0,18.0,2.0,1983.0,5.0,1
73.0,0.0,2.0,13.0,5.0,1993.0,5.0,1
73.0,0.0,3.0,18.0,2.0,1983.0,5.0,1
73.0,1.0,2.0,92.0,5.0,1964.6,5.0,1
48.0,0.0,-1.0,79.0,-1.0,1978.0,5.0,1
73.0,1.0,0.0,36.0,0.0,1995.0,5.0,1
45.0,0.0,2.0,-1.0,5.0,1992.0,5.0,1
73.0,2.0,2.0,3.0,5.0,1987.0,5.0,1
73.0,0.0,3.0,69.0,2.0,1995.0,5.0,1
73.0,24.0,-1.0,107.0,-1.0,1929.0,5.0,1
73.0,2.0,2.0,3.0,5.0,1988.0,5.0,1
