_id,branches_count,company_name,company_status,content,country,date_added,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,revenue,revenue_range,source,technologies_used,views,year_founded
646030df4083ee47cba0e2a6,0,NovaGroup,active,"The Nova Group includes Nova Systems, GVH Aerospace, Geoplex and two10degrees.

The Nova Group has a broad range of professional services and technology solutions to assist in defining, managing and delivering complex projects and solving challenging problems. The Nova Group of Companies market differentiation is our experience and ability to share innovative ideas with our clients across sectors including Rail, Aviation, Government, Defence, Telecommunications, Utilities, Energy and Resources.

The Nova Group of Companies Service Groups include Capability Development, Project Delivery, Systems & Specialist Engineering, Safety Management, Test & Commissioning, Logistics, Training and Design, Tender Support, Human Factors, Contract Management, Cost Estimation, Scheduling, Design Services, Certification",Australia,2023-05-03T00:00:00.000Z,2023-05-11T00:00:00.000Z,"The Nova Group includes Nova Systems, GVH Aerospace, Geoplex and two10degrees.

The Nova Group has a broad range of professional services and technology solutions to assist in defining, managing and delivering complex projects and solving challenging problems. The Nova Group of Companies market differentiation is our experience and ability to share innovative ideas with our clients across sectors including Rail, Aviation, Government, Defence, Telecommunications, Utilities, Energy and Resources.

The Nova Group of Companies Service Groups include Capability Development, Project Delivery, Systems & Specialist Engineering, Safety Management, Test & Commissioning, Logistics, Training and Design, Tender Support, Human Factors, Contract Management, Cost Estimation, Scheduling, Design Services, Certification",The Nova Group of Companies,null,200 - 500,Management Consulting,true,2023-05-14T09:45:25.611Z,null,www.novagroup.com.au,null,null,10M - 50M,Play News,"[""Google Tag Manager""]",2414,1999
646030e54083ee47cba0e2a7,0,"SIVSA,Coremain",active,"Coremain es un proveedor independiente de servicios de Tecnologías de la Información y Comunicaciones con un alto valor añadido: más de 400 profesionales comprometidos con las políticas de calidad por las que hemos apostado permanentemente desde el inicio de nuestra actividad en 1991.

Nuestra experiencia en el desarrollo de exitosos proyectos, en estos veinte años de existencia, nos capacita para dar una respuesta adecuada a aquellas organizaciones que buscan no sólo un proveedor de productos y servicios sino un colaborador para ayudarle a definir y poner en marcha sus estrategias corporativas en el campo de las TIC. 

Hemos organizado nuestros servicios en tres áreas de soluciones y nuestro conocimiento de los procesos de negocio y de la problemática particular de nuestros clientes en tres sectores.

SERVICIOS:

Outsourcing
Soluciones TI
Arquitecturas Hardware

SECTORES A LOS QUE NOS DIRIGIMOS:

Sanidad
Administraciones Públicas
Empresa privada

NUESTROS VALORES:

Las personas: son nuestro activo más importante, en evolución permanente persiguiendo con humildad la excelencia en el conocimiento.
El compromiso: con el código de buenas prácticas y los objetivos corporativos.
El equipo: basado en el respeto, la tolerancia y la cooperación.
La calidad: como medio para alcanzar la excelencia.
Los clientes: cuya satisfacción es el fin último de nuestro trabajo.",Spain,2023-05-03T00:00:00.000Z,2023-05-11T00:00:00.000Z,"Coremain es un proveedor independiente de servicios de Tecnologías de la Información y Comunicaciones con un alto valor añadido: más de 400 profesionales comprometidos con las políticas de calidad por las que hemos apostado permanentemente desde el inicio de nuestra actividad en 1991.

Nuestra experiencia en el desarrollo de exitosos proyectos, en estos veinte años de existencia, nos capacita para dar una respuesta adecuada a aquellas organizaciones que buscan no sólo un proveedor de productos y servicios sino un colaborador para ayudarle a definir y poner en marcha sus estrategias corporativas en el campo de las TIC. 

Hemos organizado nuestros servicios en tres áreas de soluciones y nuestro conocimiento de los procesos de negocio y de la problemática particular de nuestros clientes en tres sectores.

SERVICIOS:

Outsourcing
Soluciones TI
Arquitecturas Hardware

SECTORES A LOS QUE NOS DIRIGIMOS:

Sanidad
Administraciones Públicas
Empresa privada

NUESTROS VALORES:

Las personas: son nuestro activo más importante, en evolución permanente persiguiendo con humildad la excelencia en el conocimiento.
El compromiso: con el código de buenas prácticas y los objetivos corporativos.
El equipo: basado en el respeto, la tolerancia y la cooperación.
La calidad: como medio para alcanzar la excelencia.
Los clientes: cuya satisfacción es el fin último de nuestro trabajo.","Coremain, S.L.",null,"1,000 - 5,000",Computer Software,true,2023-05-14T09:45:31.396Z,null,"www.sivsa.com,www.coremain.com",null,null,200M - 1B,Play News,"[""Google Analytics"",""WordPress""]",2436,1991
646030eb4083ee47cba0e2a8,0,UECC,active,The leading provider of short sea roro transportation in Europe. LNG,Norway,2023-04-22T00:00:00.000Z,2023-05-02T00:00:00.000Z,The leading provider of short sea roro transportation in Europe. LNG,UNITED EUROPEAN CAR CARRIERS AS,58,50 - 200,Management Consulting,true,2023-05-14T09:45:37.176Z,null,www.uecc.com,null,null,1M - 10M,Play News,"[""CloudFlare"",""Google Analytics""]",4874,1997
646030f14083ee47cba0e2a9,0,GroupeGambetta,active,"Groupe Gambetta | 5,478 followers on LinkedIn. Pionnier du logement coopératif, le Groupe Gambetta dirigé par Norbert Fanchon, Président du Directoire, est un promoteur spécialiste de l’accession à la propriété. Créé à Cholet (49) en 1923, le Groupe est présent dans l’Ouest, le Centre, en PACA, en Occitanie, en Île-de-France et en Auvergne-Rhône-Alpes, des territoires où il a construit plus de 35 000 logements depuis sa création. Il prépare aujourd’hui de nouvelles implantations afin d’atteindre une dimension nationale et de poursuivre son développement.",France,2023-04-22T00:00:00.000Z,2023-05-02T00:00:00.000Z,"Groupe Gambetta | 5,478 followers on LinkedIn. Pionnier du logement coopératif, le Groupe Gambetta dirigé par Norbert Fanchon, Président du Directoire, est un promoteur spécialiste de l’accession à la propriété. Créé à Cholet (49) en 1923, le Groupe est présent dans l’Ouest, le Centre, en PACA, en Occitanie, en Île-de-France et en Auvergne-Rhône-Alpes, des territoires où il a construit plus de 35 000 logements depuis sa création. Il prépare aujourd’hui de nouvelles implantations afin d’atteindre une dimension nationale et de poursuivre son développement.",Groupe Gambetta,114,50 - 200,Real Estate,true,2023-05-14T09:45:42.945Z,null,www.groupegambetta.fr,null,null,10M - 50M,Play News,"[""MaxCDN""]",4802,1923
646030f64083ee47cba0e2aa,0,StructabAB(MegTax),active,"Structab AB har sitt säte i Halmstad och har dessutom ett kontor i Kungsbacka. Vi har en liten effektiv organisation som består av 13 anställda. Vi har lång erfarenhet med utveckling av elektronik avsedd att arbeta i besvärliga miljöer. Våra produkter vänder sig framförallt mot området mobila datasystem, där vi tar fram både hård- och mjukvara.

Tillverkning av våra produkter sker via lego på Propoint AB i Kungsbacka. Detta ger våra kunder en trygghet.",Sweden,2023-04-18T00:00:00.000Z,2023-04-28T00:00:00.000Z,"Structab AB har sitt säte i Halmstad och har dessutom ett kontor i Kungsbacka. Vi har en liten effektiv organisation som består av 13 anställda. Vi har lång erfarenhet med utveckling av elektronik avsedd att arbeta i besvärliga miljöer. Våra produkter vänder sig framförallt mot området mobila datasystem, där vi tar fram både hård- och mjukvara.

Tillverkning av våra produkter sker via lego på Propoint AB i Kungsbacka. Detta ger våra kunder en trygghet.",Structab AB (MegTax),14,10 - 50,Information Technology and Services,true,2023-05-14T09:45:48.726Z,null,structab.se,null,null,1M - 10M,Play News,"[""NewRelic""]",5673,1994
646030fc4083ee47cba0e2ab,0,CorribOil,active,"Corrib Oil offers the cheapest heating oil prices in Ireland. Get a quote or order kerosene, commercial and home heating oil or diesel online now.",Ireland,2023-04-18T00:00:00.000Z,2023-04-28T00:00:00.000Z,"Corrib Oil offers the cheapest heating oil prices in Ireland. Get a quote or order kerosene, commercial and home heating oil or diesel online now.",Corrib Oil Company Limited,null,null,Oil & Energy,true,2023-05-14T09:45:54.492Z,null,www.corriboil.com,null,null,null,Play News,"[""Google Tag Manager"",""MaxCDN"",""Sukuri/Cloudproxy"",""WordPress""]",5472,1986
646031004083ee47cba0e2ac,null,Coldiretti,null,null,Italy,2023-04-18T00:00:00.000Z,2023-04-28T00:00:00.000Z,null,null,null,null,null,true,2023-05-14T09:46:00.274Z,null,www.coldiretti.it,null,null,null,Play News,[],5577,null
646031034083ee47cba0e2ad,null,Huissiers,null,null,France,2023-04-18T00:00:00.000Z,2023-04-28T00:00:00.000Z,null,null,null,null,null,true,2023-05-14T09:46:03.682Z,null,www.huissiers-cambron.com,null,null,null,Play News,[],5443,null
646031094083ee47cba0e2ae,0,BangITSolutions,active,"Bang IT Solutions are an IT company who specialise in Cloud Services. Bang IT will host your entire IT infrastructure environment in their cloud, migrate your company to Office 365, Manage and Support your Office 365 environment, and offer support and solutions wherever you need it.",Australia,2023-04-18T00:00:00.000Z,2023-04-28T00:00:00.000Z,"Bang IT Solutions are an IT company who specialise in Cloud Services. Bang IT will host your entire IT infrastructure environment in their cloud, migrate your company to Office 365, Manage and Support your Office 365 environment, and offer support and solutions wherever you need it.",Bang IT Solutions,null,1 - 10,Information Technology and Services,true,2023-05-14T09:46:07.080Z,-33.8664349,www.bangitsolutions.com,151.2082327,null,0 - 1M,Play News,"[""AddThis"",""CloudFlare"",""Google Analytics"",""Gravatar"",""ShareThis"",""WordPress""]",5398,2015
6460310f4083ee47cba0e2af,0,PESABydgoszcz,active,"PESA Bydgoszcz SA is the biggest Polish company producing and modernizing rail vehicles, responsive to current market challenges and aiming for development. The company is based on the historically well-established brand, which has its origin, in famous all over Europe - Królewskie Główne Warsztaty Naprawcze Kolei - created in 1851, operating after World War II as ZNTK Bydgoszcz. The baggage of experience gained in more than 160 years of history, with a constant attention to innovation of technology, allows PESA to successfully conquer the modern European market.
Trains and trams are designed for carriers and passengers, not only in Poland but also in Lithuania, Ukraine, Belarus, Italy, Hungary, Romania, Czech Republic, Kazakhstan, Germany, Russia and in Bulgaria.
For leading products of PESA Bydgoszcz SA are: already tested in the Italian market Diesel Multiple Units Atribo ATR 220 and ordered by domestic and foreign carriers - the new generation - Link, as well as the electrical Elf, which meets the requirements of the four collision scenario and low-floor tram - Swing, delivered eg.  to Warsaw under contract for 186 vehicles.
The highest standards of production processes management in PESA are confirmed by numerous certificates awarded by national and international certification institutions - including very demanding and prestigious certification IRIS 02 and Q1.
The ambition of PESA Bydgoszcz SA is distribution to its customers modern and solidly made products.",Poland,2023-04-11T00:00:00.000Z,2023-04-14T00:00:00.000Z,"PESA Bydgoszcz SA is the biggest Polish company producing and modernizing rail vehicles, responsive to current market challenges and aiming for development. The company is based on the historically well-established brand, which has its origin, in famous all over Europe - Królewskie Główne Warsztaty Naprawcze Kolei - created in 1851, operating after World War II as ZNTK Bydgoszcz. The baggage of experience gained in more than 160 years of history, with a constant attention to innovation of technology, allows PESA to successfully conquer the modern European market.
Trains and trams are designed for carriers and passengers, not only in Poland but also in Lithuania, Ukraine, Belarus, Italy, Hungary, Romania, Czech Republic, Kazakhstan, Germany, Russia and in Bulgaria.
For leading products of PESA Bydgoszcz SA are: already tested in the Italian market Diesel Multiple Units Atribo ATR 220 and ordered by domestic and foreign carriers - the new generation - Link, as well as the electrical Elf, which meets the requirements of the four collision scenario and low-floor tram - Swing, delivered eg.  to Warsaw under contract for 186 vehicles.
The highest standards of production processes management in PESA are confirmed by numerous certificates awarded by national and international certification institutions - including very demanding and prestigious certification IRIS 02 and Q1.
The ambition of PESA Bydgoszcz SA is distribution to its customers modern and solidly made products.",PESA Bydgoszcz SA,null,"1,000 - 5,000",Machinery,true,2023-05-14T09:46:12.877Z,null,www.pesa.pl,null,null,200M - 1B,Play News,"[""Google Tag Manager""]",7349,1851
646031124083ee47cba0e2b0,null,CHMedia,null,null,Switzerland,2023-04-10T00:00:00.000Z,2023-05-03T00:00:00.000Z,null,null,null,null,null,true,2023-05-14T09:46:18.682Z,null,chmedia.chnzz.chvsdruck.chazmedien.ch,null,null,null,Play News,[],6985,null
646031184083ee47cba0e2b1,0,Schirm,active,Als Lohnfertiger Ã¼bernimmt IMPERIAL Logistics International das Contract Manufacturing und die Lohnfertigung und LohnabfÃ¼llung fÃ¼r die chemische Industrie.,Germany,2023-04-09T00:00:00.000Z,2023-04-21T00:00:00.000Z,Als Lohnfertiger Ã¼bernimmt IMPERIAL Logistics International das Contract Manufacturing und die Lohnfertigung und LohnabfÃ¼llung fÃ¼r die chemische Industrie.,Schirm GmbH,null,null,Chemicals,true,2023-05-14T09:46:22.078Z,null,www.schirm.com,null,null,null,Play News,"[""Google Analytics""]",7982,1984
6460311e4083ee47cba0e2b2,0,VleeswarenfabriekJacMichiels,active,"Welkom op de vernieuwde website van Michiels Vleeswaren. Als u op zoek bent naar vleeswaren, voor 100% gemaakt naar uw smaak, bent u hier aan het juiste adres. Wij zijn gespecialiseerd in gezouten, gekookte en gerookte vleeswaren van",Belgium,2023-04-09T00:00:00.000Z,2023-04-21T00:00:00.000Z,"Welkom op de vernieuwde website van Michiels Vleeswaren. Als u op zoek bent naar vleeswaren, voor 100% gemaakt naar uw smaak, bent u hier aan het juiste adres. Wij zijn gespecialiseerd in gezouten, gekookte en gerookte vleeswaren van",Michiels Vleeswaren. Als,null,null,Food & Beverages,true,2023-05-14T09:46:27.863Z,null,www.michiels-vleeswaren.be,null,null,null,Play News,"[""Google Analytics""]",7964,null
